game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-CAR-ATL,2023-05-05,2023,2,,CAR,ATL,,2.0,1.0,1.0,1.0,1.0,,1.0,,,7.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,,ATX,ATL,1.0,,,3.0,3.0,,,3.0,,18.0,23.0
2023-05-21-ATL-CAR,2023-05-21,2023,4,,ATL,CAR,,,,1.0,1.0,,,1.0,,9.0,-4.0
2023-05-27-HTX-ATL,2023-05-27,2023,5,,HTX,ATL,1.0,1.0,,6.0,8.0,,,8.0,,7.0,41.0
2023-06-09-ATL-BOS,2023-06-09,2023,7,,ATL,BOS,,,,6.0,7.0,,,8.0,1.0,44.0,39.0
2023-06-23-ATL-HTX,2023-06-23,2023,9,,ATL,HTX,1.0,,,2.0,3.0,,,3.0,,13.0,4.0
2023-07-22-CAR-ATL,2023-07-22,2023,13,,CAR,ATL,,,,4.0,2.0,2.0,1.0,2.0,,55.0,-5.0
