game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-MIN-IND,2023-05-06,2023,2,,MIN,IND,1.0,1.0,19.0,17.0,1.0,2.0,1.0,,18.0,1.0,148.0,135.0
2023-05-20-PIT-MIN,2023-05-20,2023,4,,PIT,MIN,1.0,1.0,11.0,9.0,1.0,,,,11.0,2.0,145.0,59.0
2023-05-27-MIN-DET,2023-05-27,2023,5,,MIN,DET,1.0,1.0,15.0,13.0,2.0,1.0,,,13.0,1.0,103.0,69.0
2023-05-28-MIN-CHI,2023-05-28,2023,5,,MIN,CHI,,,,,,,,1.0,,,,
2023-06-03-CHI-MIN,2023-06-03,2023,6,,CHI,MIN,1.0,,19.0,17.0,3.0,1.0,,,17.0,,103.0,104.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,1.0,,23.0,22.0,1.0,2.0,1.0,,23.0,1.0,117.0,136.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,1.0,,16.0,11.0,4.0,1.0,,,13.0,2.0,236.0,121.0
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,,,13.0,12.0,1.0,1.0,,,12.0,,207.0,64.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,,MIN,MAD,0.0,,8.0,4.0,1.0,0.0,,,7.0,3.0,69.0,15.0
2023-07-15-CHI-MIN,2023-07-15,2023,12,,CHI,MIN,2.0,,7.0,6.0,,,1.0,,7.0,1.0,84.0,88.0
