game_id,date,season,week,league,away,home,assists,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-COL-SD,2023-05-05,2023,2,,COL,SD,4.0,21.0,28.0,,,1.0,1.0,29.0,1.0,17.0,213.0
2023-05-13-SEA-COL,2023-05-13,2023,3,,SEA,COL,2.0,38.0,45.0,,,2.0,,46.0,1.0,11.0,266.0
2023-05-20-LA-COL,2023-05-20,2023,4,,LA,COL,1.0,43.0,46.0,,2.0,3.0,,48.0,2.0,41.0,287.0
2023-06-04-OAK-COL,2023-06-04,2023,6,,OAK,COL,2.0,21.0,29.0,,2.0,1.0,,29.0,,84.0,275.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,1.0,31.0,42.0,,,2.0,,43.0,1.0,24.0,245.0
2023-06-16-COL-SLC,2023-06-16,2023,8,,COL,SLC,,22.0,31.0,,1.0,,,33.0,,-5.0,188.0
2023-06-17-COL-OAK,2023-06-17,2023,8,,COL,OAK,1.0,,,,,,,,2.0,,
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,1.0,23.0,26.0,,4.0,1.0,1.0,26.0,,87.0,233.0
2023-06-30-COL-POR,2023-06-30,2023,10,,COL,POR,,14.0,20.0,,0.0,0.0,,20.0,,-5.0,124.0
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,,27.0,35.0,1.0,1.0,2.0,,37.0,2.0,81.0,245.0
