game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_BHAM,,,1,USFL,,,,,0.0,,1.0,156.0,1.0,13.0
SYNTHETIC_USFL_W2_BHAM,,,2,USFL,,,,,1.0,0.0,2.0,229.0,0.0,31.0
SYNTHETIC_USFL_W3_BHAM,,,3,USFL,,,,,1.0,,2.0,197.0,0.0,59.0
SYNTHETIC_USFL_W5_BHAM,,,5,USFL,,,,,0.0,,1.0,203.0,1.0,2.0
SYNTHETIC_USFL_W6_BHAM,,,6,USFL,,,,,0.0,0.0,2.0,135.0,0.0,13.0
SYNTHETIC_USFL_W7_BHAM,,,7,USFL,,,,,1.0,,0.0,138.0,0.0,9.0
SYNTHETIC_USFL_W8_BHAM,,,8,USFL,,,,,1.0,1.0,1.0,183.0,0.0,45.0
SYNTHETIC_USFL_W9_BHAM,,,9,USFL,,,,0.0,1.0,,1.0,260.0,0.0,21.0
SYNTHETIC_USFL_W10_BHAM,,,10,USFL,,,,,1.0,0.0,0.0,72.0,0.0,0.0
SYNTHETIC_USFL_W11_BHAM,,,11,USFL,,,,,0.0,0.0,1.0,190.0,1.0,48.0
SYNTHETIC_USFL_2023_W1_STALLIONS,,2023,1,USFL,,,,,1.0,,1.0,160.0,,1.0
SYNTHETIC_UFL_2024_W1_STALLIONS,,2024,1,UFL,,,1.0,,,,,,,
SYNTHETIC_UFL_2024_W5_STALLIONS,,2024,5,UFL,,,1.0,,,,,,,
SYNTHETIC_UFL_2025_W7_STALLIONS,,2025,7,UFL,,,,,0.0,,0.0,63.0,1.0,9.0
SYNTHETIC_UFL_2025_W8_STALLIONS,,2025,8,UFL,,,1.0,,1.0,1.0,3.0,262.0,0.0,45.0
SYNTHETIC_UFL_2025_W9_STALLIONS,,2025,9,UFL,,,2.0,,0.0,,2.0,307.0,0.0,30.0
SYNTHETIC_UFL_2025_W10_STALLIONS,,2025,10,UFL,,,1.0,,0.0,,1.0,127.0,0.0,2.0
