game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-IND-ATL,2023-04-29,2023,1,,IND,ATL,5.0,,39.0,39.0,,1.0,1.0,40.0,1.0,55.0,219.0
2023-05-05-CAR-ATL,2023-05-05,2023,2,,CAR,ATL,4.0,,32.0,32.0,1.0,5.0,2.0,33.0,1.0,58.0,248.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,,ATX,ATL,3.0,,31.0,34.0,,4.0,3.0,38.0,4.0,92.0,371.0
2023-05-21-ATL-CAR,2023-05-21,2023,4,,ATL,CAR,3.0,,26.0,27.0,1.0,2.0,3.0,30.0,3.0,50.0,361.0
2023-05-27-HTX-ATL,2023-05-27,2023,5,,HTX,ATL,1.0,,19.0,22.0,1.0,1.0,1.0,23.0,1.0,35.0,218.0
2023-06-09-ATL-BOS,2023-06-09,2023,7,,ATL,BOS,1.0,,34.0,39.0,1.0,3.0,3.0,42.0,3.0,35.0,390.0
2023-06-10-ATL-NY,2023-06-10,2023,7,,ATL,NY,,1.0,,,,,,,,,
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,4.0,2.0,39.0,49.0,,3.0,3.0,49.0,,133.0,361.0
2023-06-23-ATL-HTX,2023-06-23,2023,9,,ATL,HTX,2.0,,43.0,47.0,1.0,2.0,1.0,48.0,1.0,53.0,227.0
2023-07-15-ATL-CAR,2023-07-15,2023,12,,ATL,CAR,4.0,,34.0,35.0,1.0,1.0,2.0,37.0,1.0,69.0,161.0
2023-07-22-CAR-ATL,2023-07-22,2023,13,,CAR,ATL,1.0,,28.0,30.0,1.0,1.0,2.0,31.0,1.0,188.0,135.0
