game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,punt_return,sacks,safety
SYNTHETIC_USFL_2023_W1_SHOWBOATS,,2023,1,USFL,,,2.0,,,,27.0,,5.0,
SYNTHETIC_USFL_2023_W2_SHOWBOATS,,2023,2,USFL,,,,,,0.0,42.0,,3.0,1.0
SYNTHETIC_USFL_2023_W3_SHOWBOATS,,2023,3,USFL,,,,,,1.0,30.0,,1.0,
SYNTHETIC_USFL_2023_W4_SHOWBOATS,,2023,4,USFL,,,,1.0,2.0,2.0,10.0,,1.0,
SYNTHETIC_USFL_2023_W5_SHOWBOATS,,2023,5,USFL,,,,,2.0,1.0,10.0,,4.0,
SYNTHETIC_USFL_2023_W6_SHOWBOATS,,2023,6,USFL,,,,,,3.0,0.0,1.0,2.0,
SYNTHETIC_USFL_2023_W7_SHOWBOATS,,2023,7,USFL,,,1.0,,,2.0,20.0,,4.0,
SYNTHETIC_USFL_2023_W8_SHOWBOATS,,2023,8,USFL,,,,,1.0,2.0,16.0,,0.0,
SYNTHETIC_USFL_2023_W9_SHOWBOATS,,2023,9,USFL,,,,,,0.0,25.0,,4.0,
SYNTHETIC_USFL_2023_W10_SHOWBOATS,,2023,10,USFL,,,,,2.0,1.0,27.0,1.0,0.0,
SYNTHETIC_UFL_2024_W1_SHOWBOATS,,2024,1,UFL,,,1.0,1.0,3.0,0.0,12.0,,4.0,
SYNTHETIC_UFL_2024_W2_SHOWBOATS,,2024,2,UFL,,,,,1.0,1.0,20.0,,2.0,
SYNTHETIC_UFL_2024_W3_SHOWBOATS,,2024,3,UFL,,,,,1.0,0.0,33.0,,3.0,1.0
SYNTHETIC_UFL_2024_W4_SHOWBOATS,,2024,4,UFL,,,,,1.0,1.0,32.0,,0.0,
SYNTHETIC_UFL_2024_W5_SHOWBOATS,,2024,5,UFL,,,,,1.0,0.0,35.0,,3.0,
SYNTHETIC_UFL_2024_W6_SHOWBOATS,,2024,6,UFL,,,,,,0.0,39.0,,1.0,
SYNTHETIC_UFL_2024_W7_SHOWBOATS,,2024,7,UFL,,,,,1.0,0.0,47.0,,0.0,
SYNTHETIC_UFL_2024_W8_SHOWBOATS,,2024,8,UFL,,,,,,0.0,24.0,,1.0,
SYNTHETIC_UFL_2024_W9_SHOWBOATS,,2024,9,UFL,,,,,,2.0,36.0,,3.0,
SYNTHETIC_UFL_2024_W10_SHOWBOATS,,2024,10,UFL,,,,,,1.0,12.0,,2.0,
SYNTHETIC_UFL_2025_W1_SHOWBOATS,,2025,1,UFL,,,,,,0.0,20.0,,1.0,
SYNTHETIC_UFL_2025_W2_SHOWBOATS,,2025,2,UFL,,,,,,0.0,17.0,,1.0,
SYNTHETIC_UFL_2025_W3_SHOWBOATS,,2025,3,UFL,,,,,,0.0,12.0,,0.0,
SYNTHETIC_UFL_2025_W4_SHOWBOATS,,2025,4,UFL,,,1.0,,,0.0,27.0,,0.0,
SYNTHETIC_UFL_2025_W5_SHOWBOATS,,2025,5,UFL,,,,1.0,,1.0,20.0,,3.0,
SYNTHETIC_UFL_2025_W6_SHOWBOATS,,2025,6,UFL,,,,,,0.0,15.0,,1.0,
SYNTHETIC_UFL_2025_W7_SHOWBOATS,,2025,7,UFL,,,,,,1.0,19.0,,2.0,
SYNTHETIC_UFL_2025_W8_SHOWBOATS,,2025,8,UFL,,,,1.0,,3.0,22.0,,2.0,
SYNTHETIC_UFL_2025_W9_SHOWBOATS,,2025,9,UFL,,,,,,0.0,30.0,,2.0,
SYNTHETIC_UFL_2025_W10_SHOWBOATS,,2025,10,UFL,,,,,,0.0,34.0,,0.0,
