game_id,date,season,week,league,away,home,assists,catches,completions,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-20-BOS-MTL,2023-05-20,2023,4,,BOS,MTL,1.0,4.0,2.0,4.0,2.0,51.0,14.0
2023-06-11-BOS-MTL,2023-06-11,2023,7,,BOS,MTL,,2.0,2.0,3.0,1.0,82.0,10.0
