game_id,date,season,week,league,away,home,fumbles_lost,receiving_tds,receiving_yards,receptions
SYNTHETIC_CFL_2024_W2_BC,,2024,2,CFL,,,,0.0,20.0,2.0
SYNTHETIC_CFL_2024_W4_BC,,2024,4,CFL,,,,0.0,21.0,2.0
SYNTHETIC_CFL_2024_W5_BC,,2024,5,CFL,,,,1.0,85.0,4.0
SYNTHETIC_CFL_2024_W6_BC,,2024,6,CFL,,,,1.0,80.0,6.0
SYNTHETIC_CFL_2024_W7_BC,,2024,7,CFL,,,,1.0,59.0,6.0
SYNTHETIC_CFL_2024_W8_BC,,2024,8,CFL,,,,0.0,43.0,4.0
SYNTHETIC_CFL_2024_W9_BC,,2024,9,CFL,,,,0.0,4.0,1.0
SYNTHETIC_CFL_2024_W10_BC,,2024,10,CFL,,,,0.0,23.0,3.0
SYNTHETIC_CFL_2024_W11_BC,,2024,11,CFL,,,,1.0,51.0,3.0
SYNTHETIC_CFL_2024_W12_BC,,2024,12,CFL,,,,0.0,30.0,3.0
SYNTHETIC_CFL_2024_W14_BC,,2024,14,CFL,,,,0.0,30.0,5.0
SYNTHETIC_CFL_2024_W15_BC,,2024,15,CFL,,,,0.0,12.0,1.0
SYNTHETIC_CFL_2024_W16_BC,,2024,16,CFL,,,,0.0,61.0,2.0
SYNTHETIC_CFL_2024_W17_BC,,2024,17,CFL,,,,0.0,26.0,3.0
SYNTHETIC_CFL_2024_W18_BC,,2024,18,CFL,,,,0.0,13.0,2.0
SYNTHETIC_CFL_2024_W19_BC,,2024,19,CFL,,,,0.0,37.0,4.0
SYNTHETIC_CFL_2024_W20_BC,,2024,20,CFL,,,,0.0,24.0,2.0
SYNTHETIC_CFL_2024_W21_BC,,2024,21,CFL,,,,0.0,51.0,2.0
SYNTHETIC_CFL_2025_W1_BC,,2025,1,CFL,,,,2.0,105.0,6.0
SYNTHETIC_CFL_2025_W2_BC,,2025,2,CFL,,,1.0,,20.0,2.0
SYNTHETIC_CFL_2025_W5_BC,,2025,5,CFL,,,,1.0,85.0,4.0
SYNTHETIC_CFL_2025_W6_BC,,2025,6,CFL,,,,1.0,80.0,6.0
SYNTHETIC_CFL_2025_W7_BC,,2025,7,CFL,,,,1.0,59.0,6.0
SYNTHETIC_CFL_2025_W8_BC,,2025,8,CFL,,,,,43.0,4.0
SYNTHETIC_CFL_2025_W10_BC,,2025,10,CFL,,,,,23.0,3.0
SYNTHETIC_CFL_2025_W11_BC,,2025,11,CFL,,,,1.0,51.0,3.0
SYNTHETIC_CFL_2025_W12_BC,,2025,12,CFL,,,,,30.0,3.0
SYNTHETIC_CFL_2025_W14_BC,,2025,14,CFL,,,,,30.0,5.0
SYNTHETIC_CFL_2025_W15_BC,,2025,15,CFL,,,,,12.0,1.0
SYNTHETIC_CFL_2025_W16_BC,,2025,16,CFL,,,,,61.0,2.0
SYNTHETIC_CFL_2025_W17_BC,,2025,17,CFL,,,,,26.0,3.0
SYNTHETIC_CFL_2025_W18_BC,,2025,18,CFL,,,,,13.0,2.0
SYNTHETIC_CFL_2025_W20_BC,,2025,20,CFL,,,,,24.0,2.0
SYNTHETIC_CFL_2025_W21_BC,,2025,21,CFL,,,,,51.0,2.0
