game_id,date,season,week,league,away,home,assists,catches,completions,drops,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,1.0,20.0,27.0,1.0,1.0,1.0,30.0,3.0,63.0,235.0
2023-07-01-DAL-ATX,2023-07-01,2023,10,,DAL,ATX,,31.0,37.0,,1.0,1.0,42.0,5.0,67.0,254.0
