game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_W1_OTT,,,1,CFL,,,,,,,0.0,16.0,2.0,,,,
SYNTHETIC_CFL_W17_OTT,,,17,CFL,,,,,,,0.0,94.0,5.0,,,,
SYNTHETIC_CFL_W19_OTT,,,19,CFL,,,,,,,0.0,93.0,8.0,,,,
SYNTHETIC_CFL_W20_OTT,,,20,CFL,,,,,,,0.0,34.0,5.0,,,,
SYNTHETIC_CFL_2023_W1_OTT,,2023,1,CFL,,,,,,,0.0,27.0,4.0,,,,
SYNTHETIC_CFL_2023_W2_OTT,,2023,2,CFL,,,,,,,0.0,54.0,6.0,,,,
SYNTHETIC_CFL_2023_W4_OTT,,2023,4,CFL,,,,,,,0.0,18.0,3.0,,,,
SYNTHETIC_CFL_2023_W5_OTT,,2023,5,CFL,,,,,,,0.0,58.0,7.0,,,,
SYNTHETIC_CFL_2023_W6_OTT,,2023,6,CFL,,,,,,,0.0,80.0,5.0,,,,
SYNTHETIC_CFL_2023_W7_OTT,,2023,7,CFL,,,,,,,1.0,94.0,7.0,,,,
SYNTHETIC_CFL_2023_W8_OTT,,2023,8,CFL,,,,,,,0.0,65.0,5.0,,,,
SYNTHETIC_CFL_2023_W9_OTT,,2023,9,CFL,,,,,,,0.0,21.0,2.0,,,,
SYNTHETIC_CFL_2023_W10_OTT,,2023,10,CFL,,,,,,,1.0,62.0,7.0,,,,
SYNTHETIC_CFL_2023_W11_OTT,,2023,11,CFL,,,,,,,0.0,37.0,5.0,,,,
SYNTHETIC_CFL_2023_W12_OTT,,2023,12,CFL,,,,,,,0.0,31.0,4.0,,,,
SYNTHETIC_CFL_2023_W14_OTT,,2023,14,CFL,,,0.0,,0.0,0.0,0.0,29.0,2.0,,,,
SYNTHETIC_CFL_2023_W15_OTT,,2023,15,CFL,,,,,,,0.0,114.0,8.0,,,,
SYNTHETIC_CFL_2023_W16_OTT,,2023,16,CFL,,,,0.0,,,0.0,54.0,5.0,,,0.0,1.0
SYNTHETIC_CFL_2023_W17_OTT,,2023,17,CFL,,,,,,,0.0,45.0,4.0,,,,
SYNTHETIC_CFL_2023_W18_OTT,,2023,18,CFL,,,,,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_2023_W19_OTT,,2023,19,CFL,,,,,,,0.0,98.0,5.0,,,,
SYNTHETIC_CFL_2023_W21_OTT,,2023,21,CFL,,,,,,,1.0,119.0,6.0,,,,
SYNTHETIC_CFL_2024_W2_OTT,,2024,2,CFL,,,,,,,1.0,111.0,7.0,,,,
SYNTHETIC_CFL_2024_W3_OTT,,2024,3,CFL,,,,,,,0.0,143.0,7.0,0.0,16.0,,
SYNTHETIC_CFL_2024_W4_OTT,,2024,4,CFL,,,,,,,1.0,74.0,5.0,0.0,1.0,,
SYNTHETIC_CFL_2024_W5_OTT,,2024,5,CFL,,,,,,,0.0,43.0,3.0,,,,
