game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_USFL_2023_W1_PANTHERS,,2023,1,USFL,,,,,2.0,2.0,13.0,4.0
SYNTHETIC_USFL_2023_W2_PANTHERS,,2023,2,USFL,,,,,2.0,2.0,10.0,4.0
SYNTHETIC_USFL_2023_W3_PANTHERS,,2023,3,USFL,,,,,1.0,0.0,28.0,1.0
SYNTHETIC_USFL_2023_W4_PANTHERS,,2023,4,USFL,,,,,,0.0,23.0,1.0
SYNTHETIC_USFL_2023_W5_PANTHERS,,2023,5,USFL,,,1.0,,1.0,1.0,23.0,3.0
SYNTHETIC_USFL_2023_W6_PANTHERS,,2023,6,USFL,,,,,1.0,0.0,27.0,1.0
SYNTHETIC_USFL_2023_W7_PANTHERS,,2023,7,USFL,,,,,,0.0,22.0,1.0
SYNTHETIC_USFL_2023_W8_PANTHERS,,2023,8,USFL,,,,,1.0,2.0,24.0,2.0
SYNTHETIC_USFL_2023_W9_PANTHERS,,2023,9,USFL,,,,,,0.0,19.0,6.0
SYNTHETIC_USFL_2023_W10_PANTHERS,,2023,10,USFL,,,1.0,1.0,,0.0,20.0,0.0
SYNTHETIC_USFL_2023_W11_PANTHERS,,2023,11,USFL,,,1.0,,,,31.0,1.0
SYNTHETIC_UFL_2024_W1_PANTHERS,,2024,1,UFL,,,,,,0.0,16.0,3.0
SYNTHETIC_UFL_2024_W2_PANTHERS,,2024,2,UFL,,,,,,1.0,20.0,0.0
SYNTHETIC_UFL_2024_W3_PANTHERS,,2024,3,UFL,,,1.0,,,1.0,20.0,2.0
SYNTHETIC_UFL_2024_W4_PANTHERS,,2024,4,UFL,,,,,,1.0,19.0,1.0
SYNTHETIC_UFL_2024_W5_PANTHERS,,2024,5,UFL,,,,,2.0,2.0,18.0,7.0
SYNTHETIC_UFL_2024_W6_PANTHERS,,2024,6,UFL,,,,,,0.0,27.0,1.0
SYNTHETIC_UFL_2024_W7_PANTHERS,,2024,7,UFL,,,,,1.0,0.0,9.0,3.0
SYNTHETIC_UFL_2024_W8_PANTHERS,,2024,8,UFL,,,,,,1.0,18.0,4.0
SYNTHETIC_UFL_2024_W9_PANTHERS,,2024,9,UFL,,,,,1.0,0.0,22.0,4.0
SYNTHETIC_UFL_2024_W10_PANTHERS,,2024,10,UFL,,,,,,0.0,20.0,5.0
SYNTHETIC_UFL_2024_W11_PANTHERS,,2024,11,UFL,,,,,,2.0,31.0,4.0
SYNTHETIC_UFL_2025_W1_PANTHERS,,2025,1,UFL,,,,1.0,,2.0,12.0,3.0
SYNTHETIC_UFL_2025_W2_PANTHERS,,2025,2,UFL,,,,,,2.0,21.0,0.0
SYNTHETIC_UFL_2025_W3_PANTHERS,,2025,3,UFL,,,,,,0.0,17.0,2.0
SYNTHETIC_UFL_2025_W4_PANTHERS,,2025,4,UFL,,,,,,1.0,9.0,2.0
SYNTHETIC_UFL_2025_W5_PANTHERS,,2025,5,UFL,,,,,,0.0,32.0,2.0
SYNTHETIC_UFL_2025_W6_PANTHERS,,2025,6,UFL,,,,,,0.0,14.0,1.0
SYNTHETIC_UFL_2025_W7_PANTHERS,,2025,7,UFL,,,,,,0.0,24.0,3.0
SYNTHETIC_UFL_2025_W8_PANTHERS,,2025,8,UFL,,,,1.0,1.0,1.0,18.0,0.0
SYNTHETIC_UFL_2025_W9_PANTHERS,,2025,9,UFL,,,,,1.0,0.0,26.0,3.0
SYNTHETIC_UFL_2025_W10_PANTHERS,,2025,10,UFL,,,,,,0.0,13.0,2.0
