game_id,date,season,week,league,away,home,conversions,passing_yards,receiving_tds,receiving_yards,receptions
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,15.0,2.0
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,10.0,1.0
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,1.0,29.0,5.0
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,,26.0,3.0
SYNTHETIC_UFL_2024_W1_DEFENDERS,,2024,1,UFL,,,,,0.0,28.0,4.0
SYNTHETIC_UFL_2024_W2_DEFENDERS,,2024,2,UFL,,,,,1.0,29.0,3.0
SYNTHETIC_UFL_2024_W9_DEFENDERS,,2024,9,UFL,,,,,0.0,5.0,1.0
SYNTHETIC_UFL_2024_W10_DEFENDERS,,2024,10,UFL,,,,12.0,0.0,-2.0,1.0
SYNTHETIC_UFL_2025_W1_DEFENDERS,,2025,1,UFL,,,,,0.0,6.0,1.0
SYNTHETIC_UFL_2025_W2_DEFENDERS,,2025,2,UFL,,,,,0.0,9.0,1.0
SYNTHETIC_UFL_2025_W3_DEFENDERS,,2025,3,UFL,,,,,1.0,40.0,3.0
SYNTHETIC_UFL_2025_W4_DEFENDERS,,2025,4,UFL,,,,,1.0,39.0,1.0
SYNTHETIC_UFL_2025_W5_DEFENDERS,,2025,5,UFL,,,,,0.0,6.0,1.0
SYNTHETIC_UFL_2025_W6_DEFENDERS,,2025,6,UFL,,,1.0,,0.0,0.0,0.0
SYNTHETIC_UFL_2025_W7_DEFENDERS,,2025,7,UFL,,,,,0.0,71.0,5.0
SYNTHETIC_UFL_2025_W8_DEFENDERS,,2025,8,UFL,,,,,0.0,5.0,1.0
SYNTHETIC_UFL_2025_W9_DEFENDERS,,2025,9,UFL,,,,,0.0,29.0,2.0
