game_id,date,season,week,league,away,home,extra_point,field_goal_yards,interceptions_lost,lost_fumbles,missed,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_UFL_2026_W1_HOUSTONGAMBLERS,,2026,1,UFL,,,,44.0,2.0,,,0.0,261.0,1.0,36.0
SYNTHETIC_UFL_2026_W2_HOUSTONGAMBLERS,,2026,2,UFL,,,1.0,169.0,0.0,,,0.0,234.0,0.0,37.0
SYNTHETIC_UFL_2026_W3_HOUSTONGAMBLERS,,2026,3,UFL,,,1.0,,1.0,1.0,,1.0,171.0,0.0,23.0
SYNTHETIC_UFL_2026_W4_HOUSTONGAMBLERS,,2026,4,UFL,,,1.0,159.0,0.0,,1.0,0.0,107.0,1.0,21.0
SYNTHETIC_UFL_2026_W5_HOUSTONGAMBLERS,,2026,5,UFL,,,2.0,23.0,0.0,,1.0,0.0,146.0,1.0,37.0
SYNTHETIC_UFL_2026_W6_HOUSTONGAMBLERS,,2026,6,UFL,,,2.0,33.0,0.0,,,1.0,103.0,0.0,36.0
