game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_W1_WPG,,,1,CFL,,,,,,,0.0,30.0,4.0,,
SYNTHETIC_CFL_W3_WPG,,,3,CFL,,,,,,,0.0,96.0,6.0,,
SYNTHETIC_CFL_W8_WPG,,,8,CFL,,,,,,,2.0,69.0,7.0,,
SYNTHETIC_CFL_W9_WPG,,,9,CFL,,,,,,,0.0,0.0,1.0,,
SYNTHETIC_CFL_W10_WPG,,,10,CFL,,,,,,,0.0,21.0,4.0,0.0,4.0
SYNTHETIC_CFL_W12_WPG,,,12,CFL,,,,,,,1.0,73.0,5.0,0.0,36.0
SYNTHETIC_CFL_W13_WPG,,,13,CFL,,,,,,,1.0,79.0,5.0,0.0,17.0
SYNTHETIC_CFL_W14_WPG,,,14,CFL,,,,,,,,,,0.0,10.0
SYNTHETIC_CFL_W15_WPG,,,15,CFL,,,,,,,1.0,36.0,4.0,0.0,18.0
SYNTHETIC_CFL_W17_WPG,,,17,CFL,,,,,,,2.0,94.0,5.0,0.0,21.0
SYNTHETIC_CFL_W18_WPG,,,18,CFL,,,,,,,1.0,31.0,1.0,0.0,22.0
SYNTHETIC_CFL_W19_WPG,,,19,CFL,,,,,,,0.0,67.0,7.0,0.0,2.0
SYNTHETIC_CFL_2023_W1_WPG,,2023,1,CFL,,,,1.0,,,1.0,113.0,6.0,0.0,0.0
SYNTHETIC_CFL_2023_W2_WPG,,2023,2,CFL,,,,,,,0.0,56.0,5.0,,
SYNTHETIC_CFL_2023_W3_WPG,,2023,3,CFL,,,,,,,0.0,55.0,6.0,0.0,9.0
SYNTHETIC_CFL_2023_W5_WPG,,2023,5,CFL,,,,,,,0.0,17.0,2.0,0.0,8.0
SYNTHETIC_CFL_2023_W6_WPG,,2023,6,CFL,,,,,,,1.0,79.0,5.0,0.0,4.0
SYNTHETIC_CFL_2023_W7_WPG,,2023,7,CFL,,,,,,,1.0,115.0,4.0,0.0,6.0
SYNTHETIC_CFL_2023_W9_WPG,,2023,9,CFL,,,,,,,1.0,62.0,5.0,0.0,21.0
SYNTHETIC_CFL_2023_W10_WPG,,2023,10,CFL,,,,,,,1.0,61.0,3.0,0.0,34.0
SYNTHETIC_CFL_2023_W11_WPG,,2023,11,CFL,,,,,,,0.0,23.0,3.0,0.0,4.0
SYNTHETIC_CFL_2023_W12_WPG,,2023,12,CFL,,,0.0,,0.0,0.0,0.0,87.0,5.0,0.0,21.0
SYNTHETIC_CFL_2023_W13_WPG,,2023,13,CFL,,,,,,,0.0,118.0,5.0,,
SYNTHETIC_CFL_2023_W14_WPG,,2023,14,CFL,,,,,,,0.0,8.0,1.0,0.0,8.0
SYNTHETIC_CFL_2023_W15_WPG,,2023,15,CFL,,,,,,,1.0,137.0,6.0,0.0,3.0
SYNTHETIC_CFL_2023_W17_WPG,,2023,17,CFL,,,,,,,0.0,32.0,4.0,,
SYNTHETIC_CFL_2023_W18_WPG,,2023,18,CFL,,,,,,,0.0,16.0,2.0,0.0,24.0
SYNTHETIC_CFL_2023_W20_WPG,,2023,20,CFL,,,,,,,0.0,27.0,5.0,,
SYNTHETIC_CFL_2024_W1_WPG,,2024,1,CFL,,,,1.0,,,0.0,27.0,3.0,0.0,2.0
SYNTHETIC_CFL_2024_W2_WPG,,2024,2,CFL,,,,,,,0.0,58.0,3.0,,
SYNTHETIC_CFL_2024_W3_WPG,,2024,3,CFL,,,,,,,0.0,94.0,8.0,0.0,-1.0
SYNTHETIC_CFL_2024_W4_WPG,,2024,4,CFL,,,,,,,0.0,54.0,6.0,0.0,3.0
SYNTHETIC_CFL_2024_W5_WPG,,2024,5,CFL,,,,,,,0.0,21.0,1.0,,
SYNTHETIC_CFL_2024_W6_WPG,,2024,6,CFL,,,,,,,1.0,60.0,7.0,,
SYNTHETIC_CFL_2024_W7_WPG,,2024,7,CFL,,,,,,,0.0,56.0,3.0,,
SYNTHETIC_CFL_2024_W8_WPG,,2024,8,CFL,,,,,,,0.0,49.0,2.0,,
SYNTHETIC_CFL_2024_W9_WPG,,2024,9,CFL,,,,,,,0.0,39.0,3.0,,
SYNTHETIC_CFL_2024_W11_WPG,,2024,11,CFL,,,,,,,1.0,109.0,6.0,,
SYNTHETIC_CFL_2024_W12_WPG,,2024,12,CFL,,,,,,,0.0,45.0,5.0,,
SYNTHETIC_CFL_2024_W13_WPG,,2024,13,CFL,,,,,,,1.0,64.0,3.0,0.0,6.0
SYNTHETIC_CFL_2024_W14_WPG,,2024,14,CFL,,,,,,,0.0,46.0,7.0,,
SYNTHETIC_CFL_2024_W16_WPG,,2024,16,CFL,,,,,,,0.0,25.0,3.0,0.0,7.0
SYNTHETIC_CFL_2024_W17_WPG,,2024,17,CFL,,,,,,,2.0,117.0,4.0,0.0,0.0
