game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-20-BOS-MTL,2023-05-20,2023,4,,BOS,MTL,,1.0,2.0,2.0,1.0,,1.0,2.0,,1.0,51.0
2023-05-27-TOR-MTL,2023-05-27,2023,5,,TOR,MTL,,,3.0,4.0,,1.0,2.0,4.0,,33.0,112.0
2023-06-11-BOS-MTL,2023-06-11,2023,7,,BOS,MTL,,,5.0,5.0,,,,5.0,,38.0,41.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,,MTL,PHI,1.0,1.0,18.0,15.0,,,,19.0,4.0,259.0,82.0
