game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks,safety
SYNTHETIC_USFL_W1_NO,,,1,USFL,,,1.0,1.0,1.0,1.0,17.0,6.0,1.0
SYNTHETIC_USFL_W2_NO,,,2,USFL,,,,,1.0,2.0,3.0,4.0,
SYNTHETIC_USFL_W3_NO,,,3,USFL,,,1.0,,0.0,1.0,22.0,1.0,
SYNTHETIC_USFL_W4_NO,,,4,USFL,,,,,0.0,0.0,16.0,0.0,
SYNTHETIC_USFL_W5_NO,,,5,USFL,,,,,0.0,1.0,27.0,0.0,
SYNTHETIC_USFL_W6_NO,,,6,USFL,,,,1.0,0.0,2.0,16.0,1.0,
SYNTHETIC_USFL_W7_NO,,,7,USFL,,,,,0.0,0.0,27.0,1.0,
SYNTHETIC_USFL_W8_NO,,,8,USFL,,,,,2.0,1.0,10.0,4.0,
SYNTHETIC_USFL_W9_NO,,,9,USFL,,,,,2.0,2.0,6.0,3.0,
SYNTHETIC_USFL_W10_NO,,,10,USFL,,,,,1.0,0.0,20.0,2.0,
SYNTHETIC_USFL_W11_NO,,,11,USFL,,,,,0.0,0.0,31.0,2.0,
