game_id,date,season,week,league,away,home,1pt_conversion,3pt_other,3pt_pass,conversions,field_goal_yards,interceptions_lost,lost_fumbles,missed,passing_tds,passing_yards,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_19_SEA@DC,2023-02-19,2023,1,XFL,SEA,DC,,,,,,2.0,1.0,,1.0,288.0,,3.0
SYNTHETIC_XFL_2023_W1_SEADRAGONS,,2023,1,XFL,,,,1.0,,,36.0,,,1.0,,,,
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,STL,SEA,,,,,,,1.0,,2.0,196.0,,38.0
SYNTHETIC_XFL_2023_W2_SEADRAGONS,,2023,2,XFL,,,,,1.0,,29.0,,,0.0,,,,
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,SEA,VGS,,,,,,1.0,1.0,,4.0,377.0,,32.0
SYNTHETIC_XFL_2023_W3_SEADRAGONS,,2023,3,XFL,,,,,,,66.0,,,0.0,,,,
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SA,SEA,,,,,,1.0,,,1.0,264.0,,2.0
SYNTHETIC_XFL_2023_W4_SEADRAGONS,,2023,4,XFL,,,,,,,35.0,,,0.0,,,,
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,,,,3.0,,,1.0,209.0,1.0,33.0
SYNTHETIC_XFL_2023_W5_SEADRAGONS,,2023,5,XFL,,,,,1.0,,,,,,,,,
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,,,,,1.0,,,2.0,177.0,,43.0
SYNTHETIC_XFL_2023_W6_SEADRAGONS,,2023,6,XFL,,,0.0,,,1.0,145.0,,,0.0,,,,
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,,,1.0,,,1.0,266.0,,52.0
SYNTHETIC_XFL_2023_W7_SEADRAGONS,,2023,7,XFL,,,0.0,,,1.0,125.0,,,,,,,
FOOTBALL_XFL_2023_4_9_DC@SEA,2023-04-09,2023,8,XFL,DC,SEA,,,,,,1.0,,,3.0,301.0,,23.0
SYNTHETIC_XFL_2023_W8_SEADRAGONS,,2023,8,XFL,,,1.0,,1.0,0.0,29.0,,,0.0,,,,
FOOTBALL_XFL_2023_4_16_SEA@STL,2023-04-16,2023,9,XFL,SEA,STL,,,,,,1.0,,,2.0,260.0,1.0,38.0
SYNTHETIC_XFL_2023_W9_SEADRAGONS,,2023,9,XFL,,,,,,,36.0,,,1.0,,,,
FOOTBALL_XFL_2023_4_23_VGS@SEA,2023-04-23,2023,10,XFL,VGS,SEA,,,,,,2.0,,,3.0,339.0,1.0,41.0
SYNTHETIC_XFL_2023_W10_SEADRAGONS,,2023,10,XFL,,,0.0,,,2.0,0.0,,,2.0,,,,
