game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_MECHANIX,,,1,AUDL,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W2_MECHANIX,,,2,AUDL,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W3_MECHANIX,,,3,AUDL,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-18-DET-PIT,2022-06-18,2022,4,,DET,PIT,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-02-MIN-DET,2022-07-02,2022,6,,MIN,DET,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-09-DET-PIT,2022-07-09,2022,7,,DET,PIT,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-16-MAD-DET,2022-07-16,2022,8,,MAD,DET,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-30-DET-CHI,2022-07-30,2022,10,,DET,CHI,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-31-DET-MIN,2022-07-31,2022,10,,DET,MIN,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2023-05-13-IND-CHI,2023-05-13,2023,3,,IND,CHI,,1.0,,23.0,21.0,,3.0,3.0,,21.0,,94.0,7.0
2023-05-27-CHI-MAD,2023-05-27,2023,5,,CHI,MAD,1.0,3.0,1.0,17.0,19.0,,1.0,1.0,,19.0,1.0,-41.0,96.0
2023-06-03-CHI-MIN,2023-06-03,2023,6,,CHI,MIN,3.0,2.0,,14.0,12.0,,2.0,,,16.0,4.0,78.0,53.0
2023-06-17-POR-CHI,2023-06-17,2023,8,,POR,CHI,2.0,,,18.0,15.0,,2.0,2.0,,17.0,2.0,66.0,66.0
2023-06-23-DET-CHI,2023-06-23,2023,9,,DET,CHI,2.0,1.0,,22.0,22.0,,3.0,3.0,,22.0,,88.0,73.0
2023-07-07-CHI-PIT,2023-07-07,2023,11,,CHI,PIT,2.0,1.0,,22.0,25.0,,,,0.0,26.0,1.0,39.0,79.0
2023-07-08-PIT-CHI,2023-07-08,2023,11,,PIT,CHI,,,,,,,,3.0,,,,,
2023-07-21-MAD-CHI,2023-07-21,2023,13,,MAD,CHI,,,,30.0,30.0,,,,,32.0,,193.0,59.0
2024-05-04-CHI-DET,2024-05-04,2024,2,,CHI,DET,2.0,2.0,,,,0.0,2.0,,,,0.0,21.0,62.0
2024-05-11-MIN-CHI,2024-05-11,2024,3,,MIN,CHI,1.0,0.0,,,,0.0,0.0,,,,1.0,-12.0,43.0
2024-05-24-CHI-HTX,2024-05-24,2024,5,,CHI,HTX,0.0,0.0,,,,0.0,0.0,,,,2.0,81.0,222.0
2024-05-25-CHI-ATX,2024-05-25,2024,5,,CHI,ATX,0.0,0.0,,,,0.0,3.0,,,,0.0,62.0,134.0
2024-05-31-MAD-CHI,2024-05-31,2024,6,,MAD,CHI,3.0,1.0,,,,0.0,1.0,,,,0.0,176.0,120.0
2024-06-01-CHI-IND,2024-06-01,2024,6,,CHI,IND,0.0,0.0,,,,0.0,0.0,,,,0.0,24.0,0.0
2024-06-14-PIT-CHI,2024-06-14,2024,8,,PIT,CHI,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-22-IND-CHI,2024-06-22,2024,9,,IND,CHI,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-28-MIN-CHI,2024-06-28,2024,10,,MIN,CHI,0.0,0.0,,,,0.0,2.0,,,,2.0,91.0,41.0
2024-07-06-CHI-MIN,2024-07-06,2024,11,,CHI,MIN,0.0,0.0,,,,0.0,2.0,,,,0.0,58.0,62.0
2024-07-12-CHI-MAD,2024-07-12,2024,12,,CHI,MAD,0.0,1.0,,,,0.0,0.0,,,,1.0,0.0,37.0
2024-07-21-DET-CHI,2024-07-21,2024,13,,DET,CHI,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2025-05-17-CHI-MIN,2025-05-17,2025,4,,CHI,MIN,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2025-05-31-ATL-CHI,2025-05-31,2025,6,,ATL,CHI,1.0,0.0,,,,0.0,0.0,,,,0.0,37.0,24.0
