game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_yards
KATS-FIREBIRDS-0329,0329,,3,,KATS,FIREBIRDS,0.0,62.0,7.0,
NASHVILLE-OREGON-0404,0404,,3,,NASHVILLE,OREGON,0.0,8164.0,1105.0,
SWKANSAS-NASHVILLE-0426,0426,,7,,SWKANSAS,NASHVILLE,0.0,16.0,2.0,
ALBANY-NASHVILLE-0510,0510,,9,,ALBANY,NASHVILLE,1.0,138.0,8.0,
NASHVILLE-CORPUSCHRISTI-0601,0601,,12,,NASHVILLE,CORPUSCHRISTI,1.0,75.0,6.0,
NASHVILLE-BILLINGS-0609,0609,,13,,NASHVILLE,BILLINGS,1.0,16.0,1.0,
CORPUSCHRISTI-NASHVILLE-0614,0614,,14,,CORPUSCHRISTI,NASHVILLE,0.0,22.0,2.0,
NASHVILLE-ALBANY-0628,0628,,16,,NASHVILLE,ALBANY,2.0,93.0,10.0,
SYNTHETIC_AF1_2025_W3_NASHVILLE,,2025,3,AF1,,,,,,4.0
SYNTHETIC_AF1_2025_W4_NASHVILLE,,2025,4,AF1,,,,22.0,3.0,
SYNTHETIC_AF1_2025_W6_NASHVILLE,,2025,6,AF1,,,,13.0,3.0,
