game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W1_DEFENDERS,,2024,1,UFL,,,,0.0,4.0,1.0,0.0,21.0
SYNTHETIC_UFL_2024_W2_DEFENDERS,,2024,2,UFL,,,,0.0,12.0,1.0,0.0,34.0
SYNTHETIC_UFL_2024_W3_DEFENDERS,,2024,3,UFL,,,,0.0,22.0,2.0,1.0,27.0
SYNTHETIC_UFL_2024_W4_DEFENDERS,,2024,4,UFL,,,1.0,0.0,1.0,1.0,0.0,34.0
SYNTHETIC_UFL_2024_W5_DEFENDERS,,2024,5,UFL,,,,,,,1.0,25.0
SYNTHETIC_UFL_2024_W6_DEFENDERS,,2024,6,UFL,,,,,,,1.0,39.0
SYNTHETIC_UFL_2024_W7_DEFENDERS,,2024,7,UFL,,,,0.0,14.0,2.0,0.0,-4.0
SYNTHETIC_UFL_2024_W8_DEFENDERS,,2024,8,UFL,,,,0.0,0.0,0.0,0.0,3.0
SYNTHETIC_UFL_2024_W9_DEFENDERS,,2024,9,UFL,,,,,,,0.0,43.0
SYNTHETIC_UFL_2024_W10_DEFENDERS,,2024,10,UFL,,,,0.0,0.0,0.0,1.0,31.0
