game_id,date,season,week,league,away,home,assists,blk,cto,goals,lb,passing_yards,pim,sog,to
703347730,,,1,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,,,5.0,,,
