game_id,date,season,week,league,away,home,dst_touchdown,receiving_tds,receiving_yards,receptions
SYNTHETIC_UFL_2026_W1_HOUSTONGAMBLERS,,2026,1,UFL,,,1.0,0.0,59.0,5.0
SYNTHETIC_UFL_2026_W2_HOUSTONGAMBLERS,,2026,2,UFL,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2026_W3_HOUSTONGAMBLERS,,2026,3,UFL,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2026_W6_HOUSTONGAMBLERS,,2026,6,UFL,,,,0.0,9.0,2.0
