game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_W1_NO,,,1,USFL,,,,,,0.0,,
SYNTHETIC_USFL_W2_NO,,,2,USFL,,,,,,0.0,11.0,1.0
SYNTHETIC_USFL_W3_NO,,,3,USFL,,,,,,0.0,64.0,6.0
SYNTHETIC_USFL_W4_NO,,,4,USFL,,,,,,0.0,82.0,5.0
SYNTHETIC_USFL_W5_NO,,,5,USFL,,,,,,0.0,15.0,1.0
SYNTHETIC_USFL_W6_NO,,,6,USFL,,,,,,0.0,0.0,0.0
SYNTHETIC_USFL_W7_NO,,,7,USFL,,,,,,1.0,40.0,4.0
SYNTHETIC_USFL_W8_NO,,,8,USFL,,,,,,0.0,60.0,6.0
SYNTHETIC_USFL_W9_NO,,,9,USFL,,,,1.0,,1.0,34.0,3.0
SYNTHETIC_USFL_W10_NO,,,10,USFL,,,,,0.0,0.0,4.0,2.0
SYNTHETIC_USFL_W11_NO,,,11,USFL,,,,,0.0,0.0,154.0,12.0
FOOTBALL_XFL_2023_2_18_VGS@ARL,2023-02-18,2023,1,XFL,VGS,ARL,,,,,76.0,9.0
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ARL,HOU,,,,,38.0,4.0
SYNTHETIC_XFL_2023_W2_RENEGADES,,2023,2,XFL,,,0.0,0.0,,,,
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,ORL,ARL,,,,,33.0,5.0
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,ARL,STL,,,,,40.0,6.0
SYNTHETIC_XFL_2023_W4_RENEGADES,,2023,4,XFL,,,0.0,1.0,,,,
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,,,32.0,4.0
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,,,5.0,2.0
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,,64.0,4.0
SYNTHETIC_XFL_2023_W7_RENEGADES,,2023,7,XFL,,,0.0,0.0,,,,
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,,,92.0,7.0
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,,,41.0,3.0
SYNTHETIC_UFL_2024_W1_RENEGADES,,2024,1,UFL,,,,,,0.0,49.0,4.0
SYNTHETIC_UFL_2024_W2_RENEGADES,,2024,2,UFL,,,,,,1.0,10.0,2.0
SYNTHETIC_UFL_2024_W3_RENEGADES,,2024,3,UFL,,,,1.0,,0.0,48.0,4.0
SYNTHETIC_UFL_2024_W4_RENEGADES,,2024,4,UFL,,,,,,0.0,17.0,1.0
SYNTHETIC_UFL_2024_W5_RENEGADES,,2024,5,UFL,,,,,,0.0,40.0,6.0
SYNTHETIC_UFL_2024_W6_RENEGADES,,2024,6,UFL,,,,,,1.0,52.0,6.0
SYNTHETIC_UFL_2024_W7_RENEGADES,,2024,7,UFL,,,,1.0,,2.0,72.0,9.0
SYNTHETIC_UFL_2024_W8_RENEGADES,,2024,8,UFL,,,,,,1.0,87.0,9.0
SYNTHETIC_UFL_2024_W9_RENEGADES,,2024,9,UFL,,,,,,1.0,70.0,5.0
SYNTHETIC_UFL_2024_W10_RENEGADES,,2024,10,UFL,,,,,,0.0,52.0,7.0
SYNTHETIC_UFL_2025_W1_RENEGADES,,2025,1,UFL,,,,1.0,,0.0,45.0,5.0
SYNTHETIC_UFL_2025_W2_RENEGADES,,2025,2,UFL,,,,,1.0,0.0,39.0,2.0
SYNTHETIC_UFL_2025_W3_RENEGADES,,2025,3,UFL,,,,,1.0,0.0,52.0,6.0
SYNTHETIC_UFL_2025_W4_RENEGADES,,2025,4,UFL,,,,,,0.0,35.0,3.0
SYNTHETIC_UFL_2025_W5_RENEGADES,,2025,5,UFL,,,,1.0,,0.0,23.0,6.0
SYNTHETIC_UFL_2025_W6_RENEGADES,,2025,6,UFL,,,,,,0.0,13.0,2.0
SYNTHETIC_UFL_2025_W7_RENEGADES,,2025,7,UFL,,,,,,1.0,92.0,6.0
SYNTHETIC_UFL_2025_W8_RENEGADES,,2025,8,UFL,,,1.0,,,0.0,64.0,6.0
SYNTHETIC_UFL_2025_W9_RENEGADES,,2025,9,UFL,,,,,,0.0,25.0,3.0
SYNTHETIC_UFL_2025_W10_RENEGADES,,2025,10,UFL,,,,1.0,,0.0,86.0,5.0
