game_id,date,season,week,league,away,home,3pt_pass,conversions,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_W8_TB,,,8,USFL,,,,,0.0,0.0,0.0
SYNTHETIC_USFL_W9_TB,,,9,USFL,,,,,0.0,0.0,0.0
SYNTHETIC_USFL_W10_TB,,,10,USFL,,,,,0.0,0.0,1.0
SYNTHETIC_USFL_2023_W2_BREAKERS,,2023,2,USFL,,,,,0.0,10.0,1.0
SYNTHETIC_USFL_2023_W3_BREAKERS,,2023,3,USFL,,,,,1.0,66.0,3.0
SYNTHETIC_USFL_2023_W4_BREAKERS,,2023,4,USFL,,,,,0.0,43.0,4.0
SYNTHETIC_USFL_2023_W5_BREAKERS,,2023,5,USFL,,,,,0.0,24.0,2.0
SYNTHETIC_USFL_2023_W6_BREAKERS,,2023,6,USFL,,,,,0.0,27.0,2.0
SYNTHETIC_USFL_2023_W9_BREAKERS,,2023,9,USFL,,,,,0.0,0.0,0.0
SYNTHETIC_USFL_2023_W10_BREAKERS,,2023,10,USFL,,,,,1.0,4.0,1.0
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,,,64.0,3.0
SYNTHETIC_UFL_2024_W3_SHOWBOATS,,2024,3,UFL,,,,,0.0,27.0,2.0
SYNTHETIC_UFL_2024_W4_SHOWBOATS,,2024,4,UFL,,,,,0.0,15.0,1.0
SYNTHETIC_UFL_2024_W6_SHOWBOATS,,2024,6,UFL,,,1.0,,1.0,34.0,1.0
SYNTHETIC_UFL_2024_W7_SHOWBOATS,,2024,7,UFL,,,,,0.0,22.0,2.0
SYNTHETIC_UFL_2024_W8_SHOWBOATS,,2024,8,UFL,,,,,0.0,44.0,2.0
SYNTHETIC_UFL_2025_W1_BRAHMAS,,2025,1,UFL,,,,,0.0,8.0,1.0
SYNTHETIC_UFL_2025_W2_BRAHMAS,,2025,2,UFL,,,,,0.0,30.0,4.0
SYNTHETIC_UFL_2025_W4_BRAHMAS,,2025,4,UFL,,,,,0.0,4.0,1.0
SYNTHETIC_UFL_2025_W5_BRAHMAS,,2025,5,UFL,,,,1.0,1.0,93.0,4.0
SYNTHETIC_UFL_2025_W6_BRAHMAS,,2025,6,UFL,,,,,0.0,47.0,5.0
SYNTHETIC_UFL_2025_W7_BRAHMAS,,2025,7,UFL,,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2025_W8_BRAHMAS,,2025,8,UFL,,,,,1.0,38.0,1.0
SYNTHETIC_UFL_2025_W9_BRAHMAS,,2025,9,UFL,,,,,0.0,12.0,2.0
SYNTHETIC_UFL_2025_W10_BRAHMAS,,2025,10,UFL,,,,,0.0,3.0,1.0
