game_id,date,season,week,league,away,home,interceptions_made,sacks,tackles
SYNTHETIC_CFL_2023_W2_CGY,,2023,2,CFL,,,1.0,,4.0
SYNTHETIC_CFL_2023_W10_CGY,,2023,10,CFL,,,0.0,0.0,7.0
SYNTHETIC_CFL_2023_W11_CGY,,2023,11,CFL,,,0.0,0.0,2.0
SYNTHETIC_CFL_2023_W12_CGY,,2023,12,CFL,,,0.0,0.0,3.0
SYNTHETIC_CFL_2023_W13_CGY,,2023,13,CFL,,,0.0,0.0,5.0
SYNTHETIC_CFL_2023_W14_CGY,,2023,14,CFL,,,1.0,0.0,4.0
SYNTHETIC_CFL_2023_W17_CGY,,2023,17,CFL,,,0.0,0.0,1.0
SYNTHETIC_CFL_2023_W19_CGY,,2023,19,CFL,,,0.0,0.0,2.0
SYNTHETIC_CFL_2023_W20_CGY,,2023,20,CFL,,,0.0,0.0,2.0
SYNTHETIC_CFL_2023_W21_CGY,,2023,21,CFL,,,0.0,0.0,1.0
SYNTHETIC_CFL_2024_W1_CGY,,2024,1,CFL,,,0.0,0.0,3.0
