game_id,date,season,week,league,away,home,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SALINA-CORPUS,,,1,,,,,,,,,,,-5.0
ALBANY-SALINA-0406,0406,,3,,ALBANY,SALINA,,,,,,,71.0,533.0
SWKANSAS-OREGON-0412,0412,,3,,SWKANSAS,OREGON,0.0,0.0,0.0,0.0,43.0,5.0,1.0,3.0
TRITONS-LIBERTY-0328,0328,,3,,TRITONS,LIBERTY,,,,,,,1.0,9.0
ALBANY-SALINA-0504,0504,,8,,ALBANY,SALINA,,,,0.0,11.0,2.0,0.0,3.0
BILLINGS-SALINA-0524,0524,,11,,BILLINGS,SALINA,,,,1.0,73.0,4.0,1.0,13.0
WASHINGTON-SALINA-0531,0531,,12,,WASHINGTON,SALINA,,,,,,,1.0,4.0
SALINA-KANSAS-0607,0607,,13,,SALINA,KANSAS,,,,2.0,157.0,10.0,0.0,-1.0
SWKANSAS-SALINA-0615,0615,,14,,SWKANSAS,SALINA,,,,1.0,98.0,10.0,0.0,18.0
SALINA-ALBANY-0621,0621,,15,,SALINA,ALBANY,,,,0.0,50.0,6.0,0.0,3.0
SYNTHETIC_AF1_2025_W4_SALINA,,2025,4,AF1,,,,,,,,,1.0,12.0
SYNTHETIC_AF1_2025_W5_SALINA,,2025,5,AF1,,,,,,,43.0,5.0,1.0,3.0
SYNTHETIC_AF1_2025_W6_SALINA,,2025,6,AF1,,,,,,,,1.0,2.0,52.0
