game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-MAD-PIT,2023-04-29,2023,1,,MAD,PIT,,1.0,,1.0,1.0,,,1.0,,1.0,,12.0,47.0
2023-05-13-PIT-DET,2023-05-13,2023,3,,PIT,DET,1.0,3.0,,13.0,14.0,,2.0,,,15.0,1.0,-29.0,138.0
2023-05-20-PIT-MIN,2023-05-20,2023,4,,PIT,MIN,,2.0,,7.0,5.0,,,,,8.0,3.0,22.0,32.0
2023-05-27-PHI-PIT,2023-05-27,2023,5,,PHI,PIT,2.0,1.0,,8.0,8.0,,,1.0,1.0,9.0,,86.0,93.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,,PIT,MAD,1.0,,,19.0,19.0,,2.0,,,21.0,2.0,46.0,84.0
2023-06-11-DET-PIT,2023-06-11,2023,7,,DET,PIT,,2.0,,5.0,8.0,1.0,1.0,,,8.0,,6.0,18.0
2023-06-17-PIT-TOR,2023-06-17,2023,8,,PIT,TOR,,1.0,,6.0,5.0,,,,,6.0,1.0,49.0,11.0
2023-06-30-DET-PIT,2023-06-30,2023,10,,DET,PIT,1.0,,,3.0,2.0,1.0,,1.0,1.0,2.0,,18.0,47.0
2023-07-07-CHI-PIT,2023-07-07,2023,11,,CHI,PIT,,2.0,0.0,2.0,2.0,0.0,0.0,,,2.0,,12.0,21.0
2023-07-08-PIT-CHI,2023-07-08,2023,11,,PIT,CHI,1.0,,,,,,,,,,,,
2023-07-15-PIT-IND,2023-07-15,2023,12,,PIT,IND,,,,4.0,3.0,1.0,,,,4.0,,60.0,7.0
2023-07-22-IND-PIT,2023-07-22,2023,13,,IND,PIT,,1.0,,3.0,1.0,1.0,,,1.0,2.0,1.0,62.0,-1.0
