game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-TOR-BOS,2023-05-06,2023,2,,TOR,BOS,,2.0,6.0,7.0,1.0,1.0,,,8.0,1.0,74.0,38.0
2023-05-13-PHI-BOS,2023-05-13,2023,3,,PHI,BOS,1.0,1.0,11.0,12.0,,1.0,,,12.0,,107.0,40.0
2023-05-20-BOS-MTL,2023-05-20,2023,4,,BOS,MTL,,,3.0,3.0,,1.0,,,3.0,,35.0,-10.0
2023-06-02-NY-BOS,2023-06-02,2023,6,,NY,BOS,,,1.0,2.0,,,,,3.0,,19.0,10.0
2023-06-09-ATL-BOS,2023-06-09,2023,7,,ATL,BOS,,,5.0,5.0,,1.0,,,5.0,,46.0,76.0
2023-06-11-BOS-MTL,2023-06-11,2023,7,,BOS,MTL,1.0,1.0,,,1.0,,,,,,,
2023-06-16-BOS-NY,2023-06-16,2023,8,,BOS,NY,,,2.0,3.0,,,,,3.0,,48.0,2.0
2023-07-01-BOS-TOR,2023-07-01,2023,10,,BOS,TOR,2.0,2.0,4.0,4.0,,,1.0,1.0,4.0,,60.0,63.0
2023-07-08-BOS-DC,2023-07-08,2023,11,,BOS,DC,,2.0,1.0,1.0,,,,,1.0,,6.0,4.0
2023-07-21-MTL-BOS,2023-07-21,2023,13,,MTL,BOS,,,2.0,1.0,1.0,,,,1.0,,-4.0,13.0
