game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-DC-CAR,2023-04-29,2023,1,,DC,CAR,3.0,,31.0,30.0,3.0,,,,31.0,1.0,148.0,139.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,,,29.0,30.0,1.0,1.0,,,33.0,3.0,55.0,182.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,1.0,,36.0,39.0,1.0,3.0,,,39.0,,122.0,111.0
2023-06-02-CAR-DC,2023-06-02,2023,6,,CAR,DC,3.0,1.0,19.0,18.0,2.0,1.0,,,18.0,,150.0,70.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,3.0,2.0,29.0,33.0,2.0,2.0,,,33.0,,116.0,336.0
2023-06-23-DC-MTL,2023-06-23,2023,9,,DC,MTL,2.0,,11.0,18.0,,,,6.0,18.0,,39.0,154.0
2023-06-24-DC-BOS,2023-06-24,2023,9,,DC,BOS,,3.0,,,,,,,,,,
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,1.0,,10.0,10.0,,,,14.0,11.0,1.0,-15.0,41.0
2023-07-08-BOS-DC,2023-07-08,2023,11,,BOS,DC,2.0,,12.0,16.0,,2.0,,17.0,16.0,,4.0,63.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,2.0,,14.0,17.0,2.0,,2.0,11.0,17.0,,49.0,159.0
2023-07-21-TOR-DC,2023-07-21,2023,13,,TOR,DC,3.0,1.0,19.0,18.0,1.0,1.0,1.0,,18.0,,168.0,166.0
