game_id,date,season,week,league,away,home,1pt_conversion,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_XFL_2023_W1_BATTLEHAWKS,,2023,1,XFL,,,,,,1.0,1.0,15.0,2.0
SYNTHETIC_XFL_2023_W2_BATTLEHAWKS,,2023,2,XFL,,,,,,1.0,,18.0,
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,STL,DC,,,,,,,2.0
SYNTHETIC_XFL_2023_W3_BATTLEHAWKS,,2023,3,XFL,,,,,,2.0,,28.0,
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,ARL,STL,,,,,3.0,,1.0
SYNTHETIC_XFL_2023_W4_BATTLEHAWKS,,2023,4,XFL,,,,,,1.0,,11.0,
SYNTHETIC_XFL_2023_W5_BATTLEHAWKS,,2023,5,XFL,,,,,,,,28.0,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,,2.0,,4.0
SYNTHETIC_XFL_2023_W6_BATTLEHAWKS,,2023,6,XFL,,,,,,,,6.0,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,1.0,1.0,,2.0
SYNTHETIC_XFL_2023_W7_BATTLEHAWKS,,2023,7,XFL,,,,,,,,9.0,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,1.0,,,2.0
SYNTHETIC_XFL_2023_W8_BATTLEHAWKS,,2023,8,XFL,,,,,,,,17.0,
FOOTBALL_XFL_2023_4_16_SEA@STL,2023-04-16,2023,9,XFL,SEA,STL,,,,,1.0,,2.0
SYNTHETIC_XFL_2023_W9_BATTLEHAWKS,,2023,9,XFL,,,,,,,,30.0,
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,,3.0,,4.0
SYNTHETIC_XFL_2023_W10_BATTLEHAWKS,,2023,10,XFL,,,,,,,,28.0,
SYNTHETIC_UFL_2024_W1_BATTLEHAWKS,,2024,1,UFL,,,,,,,1.0,18.0,0.0
SYNTHETIC_UFL_2024_W2_BATTLEHAWKS,,2024,2,UFL,,,,,,,0.0,24.0,3.0
SYNTHETIC_UFL_2024_W3_BATTLEHAWKS,,2024,3,UFL,,,,,,,0.0,24.0,0.0
SYNTHETIC_UFL_2024_W4_BATTLEHAWKS,,2024,4,UFL,,,,,,,1.0,17.0,4.0
SYNTHETIC_UFL_2024_W5_BATTLEHAWKS,,2024,5,UFL,,,,2.0,,,3.0,12.0,2.0
SYNTHETIC_UFL_2024_W6_BATTLEHAWKS,,2024,6,UFL,,,,,,1.0,0.0,6.0,1.0
SYNTHETIC_UFL_2024_W7_BATTLEHAWKS,,2024,7,UFL,,,,1.0,,1.0,0.0,30.0,3.0
SYNTHETIC_UFL_2024_W8_BATTLEHAWKS,,2024,8,UFL,,,,,,,2.0,21.0,2.0
SYNTHETIC_UFL_2024_W9_BATTLEHAWKS,,2024,9,UFL,,,1.0,,,,0.0,30.0,1.0
SYNTHETIC_UFL_2024_W10_BATTLEHAWKS,,2024,10,UFL,,,,1.0,,1.0,1.0,12.0,2.0
SYNTHETIC_UFL_2024_W11_BATTLEHAWKS,,2024,11,UFL,,,,,,,1.0,22.0,1.0
SYNTHETIC_UFL_2025_W1_BATTLEHAWKS,,2025,1,UFL,,,,,,,2.0,6.0,3.0
SYNTHETIC_UFL_2025_W2_BATTLEHAWKS,,2025,2,UFL,,,,,,,1.0,9.0,4.0
SYNTHETIC_UFL_2025_W3_BATTLEHAWKS,,2025,3,UFL,,,,,,,2.0,27.0,0.0
SYNTHETIC_UFL_2025_W4_BATTLEHAWKS,,2025,4,UFL,,,,,1.0,,1.0,18.0,2.0
SYNTHETIC_UFL_2025_W5_BATTLEHAWKS,,2025,5,UFL,,,,,,,1.0,27.0,1.0
SYNTHETIC_UFL_2025_W6_BATTLEHAWKS,,2025,6,UFL,,,,,,3.0,1.0,6.0,3.0
SYNTHETIC_UFL_2025_W7_BATTLEHAWKS,,2025,7,UFL,,,,,,1.0,0.0,9.0,2.0
SYNTHETIC_UFL_2025_W8_BATTLEHAWKS,,2025,8,UFL,,,,,1.0,2.0,1.0,28.0,4.0
SYNTHETIC_UFL_2025_W9_BATTLEHAWKS,,2025,9,UFL,,,,,1.0,1.0,0.0,13.0,1.0
SYNTHETIC_UFL_2025_W10_BATTLEHAWKS,,2025,10,UFL,,,,1.0,,1.0,0.0,6.0,3.0
