game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-COL-SD,2023-05-05,2023,2,,COL,SD,,,1.0,1.0,,,,1.0,,3.0,-1.0
2023-05-19-SD-HTX,2023-05-19,2023,4,,SD,HTX,1.0,1.0,3.0,3.0,,,1.0,3.0,1.0,29.0,-1.0
2023-05-20-SD-ATX,2023-05-20,2023,4,,SD,ATX,,,,,,1.0,,,,,
2023-06-10-SD-OAK,2023-06-10,2023,7,,SD,OAK,,1.0,2.0,1.0,,1.0,,2.0,1.0,17.0,7.0
2023-06-17-SEA-SD,2023-06-17,2023,8,,SEA,SD,,3.0,3.0,4.0,,,,4.0,,47.0,-16.0
2023-06-24-SD-LA,2023-06-24,2023,9,,SD,LA,1.0,2.0,6.0,5.0,1.0,,,5.0,,68.0,5.0
2023-07-01-SLC-SD,2023-07-01,2023,10,,SLC,SD,,1.0,1.0,,,,,1.0,1.0,11.0,
2023-07-22-OAK-SD,2023-07-22,2023,13,,OAK,SD,,,1.0,1.0,,,,1.0,,11.0,-9.0
