game_id,date,season,week,league,away,home,assists,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-DC-CAR,2023-04-29,2023,1,,DC,CAR,3.0,30.0,28.0,2.0,4.0,1.0,28.0,,165.0,140.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,3.0,18.0,18.0,,1.0,,19.0,,82.0,105.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,2.0,27.0,22.0,2.0,3.0,1.0,25.0,3.0,127.0,240.0
2023-06-02-CAR-DC,2023-06-02,2023,6,,CAR,DC,4.0,25.0,23.0,1.0,1.0,,24.0,1.0,202.0,58.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,2.0,16.0,14.0,1.0,,1.0,15.0,1.0,212.0,89.0
2023-06-23-DC-MTL,2023-06-23,2023,9,,DC,MTL,2.0,27.0,24.0,1.0,2.0,,25.0,1.0,137.0,110.0
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,3.0,29.0,25.0,3.0,1.0,,26.0,1.0,163.0,158.0
2023-07-08-BOS-DC,2023-07-08,2023,11,,BOS,DC,2.0,41.0,40.0,,2.0,1.0,41.0,1.0,137.0,153.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,2.0,25.0,21.0,3.0,2.0,,21.0,,252.0,123.0
2023-07-21-TOR-DC,2023-07-21,2023,13,,TOR,DC,,30.0,28.0,3.0,4.0,,28.0,,258.0,146.0
