game_id,date,season,week,league,away,home,field_goal_yards,missed
1,,,1,,,,83.0,
SYNTHETIC_XFL_2023_W1_RENEGADES,,2023,1,XFL,,,95.0,
SYNTHETIC_XFL_2023_W2_RENEGADES,,2023,2,XFL,,,0.0,1.0
SYNTHETIC_XFL_2023_W3_RENEGADES,,2023,3,XFL,,,21.0,0.0
SYNTHETIC_XFL_2023_W4_RENEGADES,,2023,4,XFL,,,37.0,0.0
SYNTHETIC_XFL_2023_W5_RENEGADES,,2023,5,XFL,,,68.0,0.0
SYNTHETIC_XFL_2023_W6_RENEGADES,,2023,6,XFL,,,53.0,1.0
SYNTHETIC_XFL_2023_W7_RENEGADES,,2023,7,XFL,,,36.0,
SYNTHETIC_XFL_2023_W8_RENEGADES,,2023,8,XFL,,,54.0,0.0
SYNTHETIC_XFL_2023_W9_RENEGADES,,2023,9,XFL,,,50.0,1.0
SYNTHETIC_XFL_2023_W10_RENEGADES,,2023,10,XFL,,,111.0,0.0
