game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_CFL_W2_TOR,,,2,CFL,,,,,,,269.0,0.0,9.0
SYNTHETIC_CFL_W3_TOR,,,3,CFL,,,,,,,178.0,0.0,11.0
SYNTHETIC_CFL_W4_TOR,,,4,CFL,,,,,,,314.0,0.0,1.0
SYNTHETIC_CFL_W6_TOR,,,6,CFL,,,,1.0,,2.0,276.0,0.0,32.0
SYNTHETIC_CFL_W7_TOR,,,7,CFL,,,,1.0,,2.0,336.0,0.0,17.0
SYNTHETIC_CFL_W8_TOR,,,8,CFL,,,,0.0,,1.0,340.0,0.0,6.0
SYNTHETIC_CFL_W9_TOR,,,9,CFL,,,,0.0,,1.0,230.0,0.0,9.0
SYNTHETIC_CFL_W10_TOR,,,10,CFL,,,,0.0,,1.0,287.0,0.0,0.0
SYNTHETIC_CFL_W11_TOR,,,11,CFL,,,,1.0,,0.0,276.0,0.0,6.0
SYNTHETIC_CFL_W14_TOR,,,14,CFL,,,,1.0,,1.0,365.0,0.0,11.0
SYNTHETIC_CFL_W16_TOR,,,16,CFL,,,,1.0,,3.0,245.0,0.0,2.0
SYNTHETIC_CFL_W17_TOR,,,17,CFL,,,,2.0,,0.0,194.0,0.0,8.0
SYNTHETIC_CFL_W18_TOR,,,18,CFL,,,,0.0,,1.0,352.0,0.0,24.0
SYNTHETIC_CFL_W19_TOR,,,19,CFL,,,,0.0,,1.0,273.0,0.0,15.0
SYNTHETIC_CFL_W20_TOR,,,20,CFL,,,,1.0,,2.0,240.0,0.0,15.0
SYNTHETIC_USFL_2023_W1_BREAKERS,,2023,1,USFL,,,,0.0,,1.0,302.0,0.0,16.0
SYNTHETIC_USFL_2023_W2_BREAKERS,,2023,2,USFL,,,,0.0,,2.0,251.0,0.0,8.0
SYNTHETIC_USFL_2023_W3_BREAKERS,,2023,3,USFL,,,,1.0,,3.0,283.0,0.0,9.0
SYNTHETIC_USFL_2023_W4_BREAKERS,,2023,4,USFL,,,,1.0,,0.0,279.0,0.0,10.0
SYNTHETIC_USFL_2023_W5_BREAKERS,,2023,5,USFL,,,,1.0,2.0,1.0,206.0,,
SYNTHETIC_USFL_2023_W6_BREAKERS,,2023,6,USFL,,,,2.0,,1.0,190.0,,
SYNTHETIC_USFL_2023_W7_BREAKERS,,2023,7,USFL,,,1.0,1.0,,1.0,279.0,,
SYNTHETIC_USFL_2023_W8_BREAKERS,,2023,8,USFL,,,,2.0,,2.0,328.0,,
SYNTHETIC_USFL_2023_W9_BREAKERS,,2023,9,USFL,,,,0.0,,1.0,88.0,0.0,4.0
SYNTHETIC_USFL_2023_W10_BREAKERS,,2023,10,USFL,,,,0.0,,2.0,227.0,0.0,-1.0
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,2.0,,2.0,273.0,,
SYNTHETIC_CFL_2024_W1_EDM,,2024,1,CFL,,,,1.0,,2.0,336.0,0.0,6.0
SYNTHETIC_CFL_2024_W2_EDM,,2024,2,CFL,,,,2.0,,0.0,300.0,0.0,8.0
SYNTHETIC_CFL_2024_W3_EDM,,2024,3,CFL,,,,0.0,,4.0,342.0,,
SYNTHETIC_CFL_2024_W4_EDM,,2024,4,CFL,,,,2.0,,1.0,247.0,0.0,29.0
SYNTHETIC_CFL_2024_W6_EDM,,2024,6,CFL,,,,0.0,,2.0,272.0,0.0,9.0
SYNTHETIC_CFL_2024_W7_EDM,,2024,7,CFL,,,,1.0,,0.0,206.0,,
SYNTHETIC_CFL_2024_W8_EDM,,2024,8,CFL,,,,1.0,,0.0,85.0,0.0,3.0
SYNTHETIC_CFL_2024_W10_EDM,,2024,10,CFL,,,,1.0,,1.0,171.0,,
SYNTHETIC_CFL_2024_W11_EDM,,2024,11,CFL,,,,0.0,,2.0,234.0,,
SYNTHETIC_CFL_2024_W12_EDM,,2024,12,CFL,,,,0.0,,2.0,200.0,0.0,12.0
SYNTHETIC_CFL_2024_W13_EDM,,2024,13,CFL,,,,0.0,,3.0,486.0,,
SYNTHETIC_CFL_2024_W14_EDM,,2024,14,CFL,,,,1.0,,2.0,219.0,0.0,16.0
SYNTHETIC_CFL_2024_W16_EDM,,2024,16,CFL,,,,0.0,,0.0,48.0,,
SYNTHETIC_CFL_2024_W17_EDM,,2024,17,CFL,,,,0.0,,3.0,223.0,0.0,0.0
SYNTHETIC_CFL_2024_W18_EDM,,2024,18,CFL,,,,2.0,,2.0,379.0,,
SYNTHETIC_CFL_2025_W3_MTL,,2025,3,CFL,,,,0.0,,0.0,77.0,0.0,8.0
SYNTHETIC_CFL_2025_W4_MTL,,2025,4,CFL,,,,2.0,,1.0,203.0,0.0,19.0
SYNTHETIC_CFL_2025_W5_MTL,,2025,5,CFL,,,,0.0,,2.0,192.0,0.0,9.0
SYNTHETIC_CFL_2025_W8_MTL,,2025,8,CFL,,,,1.0,,1.0,280.0,0.0,3.0
SYNTHETIC_CFL_2025_W9_MTL,,2025,9,CFL,,,,1.0,,0.0,126.0,0.0,9.0
SYNTHETIC_CFL_2025_W10_MTL,,2025,10,CFL,,,,1.0,,0.0,79.0,0.0,1.0
SYNTHETIC_CFL_2025_W15_MTL,,2025,15,CFL,,,,0.0,,3.0,379.0,0.0,12.0
SYNTHETIC_CFL_2025_W16_MTL,,2025,16,CFL,,,,3.0,,2.0,228.0,0.0,1.0
SYNTHETIC_CFL_2025_W21_MTL,,2025,21,CFL,,,,1.0,,0.0,182.0,,
