game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,yardsReceived,yardsThrown
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,,1.0,5.0,4.0,1.0,2.0,,4.0,15.0,52.0
2023-06-24-ATL-DAL,2023-06-24,2023,9,,ATL,DAL,2.0,1.0,4.0,7.0,,1.0,1.0,7.0,22.0,81.0
