game_id,date,season,week,league,away,home,blocks,catches,completions,goals,hockeyAssists,throwAttempts,yardsReceived,yardsThrown
2023-07-08-POR-OAK,2023-07-08,2023,11,,POR,OAK,2.0,8.0,7.0,1.0,,7.0,161.0,-9.0
2023-07-22-POR-SEA,2023-07-22,2023,13,,POR,SEA,,1.0,1.0,,1.0,1.0,9.0,11.0
