game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-06-24-CHI-DET,2023-06-24,2023,9,,CHI,DET,,,4.0,4.0,,1.0,,4.0,,33.0,40.0
2023-07-15-CHI-MIN,2023-07-15,2023,12,,CHI,MIN,1.0,1.0,5.0,6.0,1.0,1.0,1.0,7.0,1.0,49.0,16.0
