game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-DC-CAR,2023-04-29,2023,1,,DC,CAR,,,9.0,9.0,,1.0,,10.0,1.0,143.0,18.0
2023-05-05-CAR-ATL,2023-05-05,2023,2,,CAR,ATL,1.0,,6.0,4.0,2.0,,1.0,4.0,,152.0,17.0
2023-05-13-ATX-CAR,2023-05-13,2023,3,,ATX,CAR,4.0,2.0,15.0,12.0,2.0,,,13.0,1.0,84.0,30.0
2023-05-21-ATL-CAR,2023-05-21,2023,4,,ATL,CAR,,2.0,4.0,5.0,1.0,1.0,,5.0,,25.0,9.0
2023-05-26-HTX-CAR,2023-05-26,2023,5,,HTX,CAR,1.0,,15.0,12.0,2.0,2.0,1.0,13.0,1.0,144.0,99.0
2023-06-02-CAR-DC,2023-06-02,2023,6,,CAR,DC,,,6.0,4.0,,,,4.0,1.0,45.0,2.0
2023-06-03-CAR-PHI,2023-06-03,2023,6,,CAR,PHI,,2.0,,,,,,,,,
2023-06-09-CAR-DAL,2023-06-09,2023,7,,CAR,DAL,2.0,1.0,7.0,1.0,,,,1.0,3.0,62.0,5.0
2023-07-15-ATL-CAR,2023-07-15,2023,12,,ATL,CAR,,,13.0,8.0,4.0,,,9.0,1.0,131.0,8.0
2023-07-22-CAR-ATL,2023-07-22,2023,13,,CAR,ATL,,,7.0,7.0,,,,7.0,,49.0,133.0
2023-07-25-DAL-CAR,2023-07-25,2023,13,,DAL,CAR,2.0,1.0,,,,,1.0,,,,
