game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-COL-SD,2023-05-05,2023,2,,COL,SD,,,5.0,4.0,1.0,,,9.0,4.0,1.0,54.0,-10.0
2023-05-20-LA-COL,2023-05-20,2023,4,,LA,COL,,2.0,6.0,4.0,2.0,,,9.0,4.0,,52.0,-9.0
2023-06-04-OAK-COL,2023-06-04,2023,6,,OAK,COL,,1.0,1.0,1.0,,,,14.0,1.0,,13.0,-6.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,1.0,1.0,6.0,7.0,,1.0,1.0,10.0,7.0,,75.0,28.0
2023-06-16-COL-SLC,2023-06-16,2023,8,,COL,SLC,,1.0,,,,,,13.0,,,,
2023-06-17-COL-OAK,2023-06-17,2023,8,,COL,OAK,1.0,,4.0,4.0,,1.0,,,4.0,,48.0,-5.0
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,1.0,1.0,9.0,9.0,,,,12.0,9.0,,15.0,70.0
2023-06-30-COL-POR,2023-06-30,2023,10,,COL,POR,,,10.0,7.0,3.0,1.0,1.0,9.0,7.0,,221.0,-32.0
2023-07-01-COL-SEA,2023-07-01,2023,10,,COL,SEA,,1.0,,,,,,,,,,
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,,,1.0,,1.0,,,9.0,,,18.0,
