game_id,date,season,week,league,away,home,pass_defended,receiving_yards,receptions,tackles
FOOTBALL_XFL_2023_2_18_VGS@ARL,2023-02-18,2023,1,XFL,VGS,ARL,,19.0,1.0,1.0
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,DC,VGS,1.0,9.0,1.0,3.0
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,SEA,VGS,,,,8.0
