game_id,date,season,week,league,away,home,extra_point,extra_points,field_goal_yards,missed
SYNTHETIC_CFL_2023_W1_OTT,,2023,1,CFL,,,,,138.0,
SYNTHETIC_CFL_2023_W2_OTT,,2023,2,CFL,,,,,13.0,
SYNTHETIC_CFL_2023_W4_OTT,,2023,4,CFL,,,2.0,,141.0,
SYNTHETIC_CFL_2023_W5_OTT,,2023,5,CFL,,,1.0,,56.0,
SYNTHETIC_CFL_2023_W6_OTT,,2023,6,CFL,,,,,111.0,
SYNTHETIC_CFL_2023_W7_OTT,,2023,7,CFL,,,3.0,,33.0,
SYNTHETIC_CFL_2023_W8_OTT,,2023,8,CFL,,,,,159.0,
SYNTHETIC_CFL_2023_W9_OTT,,2023,9,CFL,,,2.0,,154.0,1.0
SYNTHETIC_CFL_2023_W10_OTT,,2023,10,CFL,,,4.0,,50.0,
SYNTHETIC_CFL_2023_W11_OTT,,2023,11,CFL,,,4.0,,39.0,
SYNTHETIC_CFL_2023_W12_OTT,,2023,12,CFL,,,,,99.0,1.0
SYNTHETIC_CFL_2023_W15_OTT,,2023,15,CFL,,,4.0,,127.0,
SYNTHETIC_CFL_2023_W16_OTT,,2023,16,CFL,,,3.0,,74.0,
SYNTHETIC_CFL_2023_W17_OTT,,2023,17,CFL,,,1.0,,,
SYNTHETIC_CFL_2023_W18_OTT,,2023,18,CFL,,,,,21.0,
SYNTHETIC_CFL_2023_W19_OTT,,2023,19,CFL,,,3.0,,15.0,
SYNTHETIC_CFL_2023_W21_OTT,,2023,21,CFL,,,1.0,,109.0,
SYNTHETIC_CFL_2024_W2_OTT,,2024,2,CFL,,,1.0,,77.0,
SYNTHETIC_CFL_2024_W3_OTT,,2024,3,CFL,,,1.0,,60.0,
SYNTHETIC_CFL_2024_W4_OTT,,2024,4,CFL,,,,,158.0,
SYNTHETIC_CFL_2024_W5_OTT,,2024,5,CFL,,,1.0,,104.0,
SYNTHETIC_CFL_2024_W6_OTT,,2024,6,CFL,,,2.0,,139.0,
SYNTHETIC_CFL_2024_W7_OTT,,2024,7,CFL,,,1.0,,132.0,
SYNTHETIC_CFL_2024_W8_OTT,,2024,8,CFL,,,3.0,,139.0,
SYNTHETIC_CFL_2024_W10_OTT,,2024,10,CFL,,,,,137.0,
SYNTHETIC_CFL_2024_W11_OTT,,2024,11,CFL,,,3.0,,97.0,
SYNTHETIC_CFL_2024_W12_OTT,,2024,12,CFL,,,2.0,,78.0,
SYNTHETIC_CFL_2024_W13_OTT,,2024,13,CFL,,,,,98.0,
SYNTHETIC_CFL_2024_W14_OTT,,2024,14,CFL,,,4.0,,132.0,
SYNTHETIC_CFL_2024_W15_OTT,,2024,15,CFL,,,1.0,,54.0,
SYNTHETIC_CFL_2024_W16_OTT,,2024,16,CFL,,,,,62.0,
SYNTHETIC_CFL_2024_W17_OTT,,2024,17,CFL,,,1.0,,116.0,
SYNTHETIC_CFL_2024_W19_OTT,,2024,19,CFL,,,,,93.0,
SYNTHETIC_CFL_2024_W20_OTT,,2024,20,CFL,,,,,38.0,
SYNTHETIC_CFL_2024_W21_OTT,,2024,21,CFL,,,2.0,,155.0,
SYNTHETIC_CFL_2025_W1_OTT,,2025,1,CFL,,,2.0,,,
SYNTHETIC_CFL_2025_W2_OTT,,2025,2,CFL,,,2.0,,25.0,
SYNTHETIC_CFL_2025_W3_OTT,,2025,3,CFL,,,1.0,,116.0,
SYNTHETIC_CFL_2025_W4_OTT,,2025,4,CFL,,,1.0,,135.0,
SYNTHETIC_CFL_2025_W5_OTT,,2025,5,CFL,,,3.0,,155.0,
SYNTHETIC_CFL_2025_W6_OTT,,2025,6,CFL,,,2.0,,55.0,
SYNTHETIC_CFL_2025_W7_OTT,,2025,7,CFL,,,,,154.0,
SYNTHETIC_CFL_2025_W9_OTT,,2025,9,CFL,,,4.0,,18.0,
SYNTHETIC_CFL_2025_W10_OTT,,2025,10,CFL,,,3.0,,35.0,
SYNTHETIC_CFL_2025_W11_OTT,,2025,11,CFL,,,3.0,,89.0,
SYNTHETIC_CFL_2025_W12_OTT,,2025,12,CFL,,,2.0,,46.0,
SYNTHETIC_CFL_2025_W14_OTT,,2025,14,CFL,,,2.0,,71.0,
SYNTHETIC_CFL_2025_W15_OTT,,2025,15,CFL,,,1.0,,71.0,
SYNTHETIC_CFL_2025_W16_OTT,,2025,16,CFL,,,,2.0,23.0,2.0
SYNTHETIC_CFL_2025_W18_OTT,,2025,18,CFL,,,1.0,,51.0,
SYNTHETIC_CFL_2025_W19_OTT,,2025,19,CFL,,,,,40.0,
SYNTHETIC_CFL_2025_W20_OTT,,2025,20,CFL,,,2.0,,91.0,
SYNTHETIC_CFL_2025_W21_OTT,,2025,21,CFL,,,2.0,,,
