game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,2.0,,30.0,35.0,1.0,1.0,2.0,37.0,2.0,-100.0,311.0
2023-05-05-TOR-NY,2023-05-05,2023,2,,TOR,NY,3.0,,21.0,25.0,1.0,2.0,2.0,26.0,1.0,49.0,205.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,2.0,,48.0,49.0,4.0,2.0,1.0,52.0,3.0,64.0,351.0
2023-06-02-NY-BOS,2023-06-02,2023,6,,NY,BOS,,1.0,17.0,26.0,1.0,2.0,,28.0,,22.0,118.0
2023-06-03-NY-MTL,2023-06-03,2023,6,,NY,MTL,1.0,,,,,,1.0,,2.0,,
2023-06-10-ATL-NY,2023-06-10,2023,7,,ATL,NY,,,33.0,34.0,2.0,5.0,,35.0,1.0,89.0,241.0
2023-06-16-BOS-NY,2023-06-16,2023,8,,BOS,NY,4.0,,30.0,38.0,,1.0,5.0,38.0,,51.0,495.0
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,2.0,,34.0,42.0,0.0,4.0,,43.0,0.0,60.0,456.0
2023-07-15-NY-SLC,2023-07-15,2023,12,,NY,SLC,,,,,,,5.0,,,,
2023-07-22-MTL-NY,2023-07-22,2023,13,,MTL,NY,3.0,,29.0,34.0,,2.0,1.0,37.0,3.0,34.0,274.0
