game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_W3_PHI,,,3,USFL,,,,,0.0,0.0,1.0,146.0,0.0,1.0
SYNTHETIC_USFL_W4_PHI,,,4,USFL,,,,,1.0,,2.0,190.0,0.0,35.0
SYNTHETIC_USFL_W5_PHI,,,5,USFL,,,,,0.0,1.0,0.0,215.0,0.0,0.0
SYNTHETIC_USFL_W6_PHI,,,6,USFL,,,,,0.0,0.0,2.0,73.0,0.0,18.0
SYNTHETIC_USFL_W7_PHI,,,7,USFL,,,,,2.0,,1.0,163.0,0.0,28.0
SYNTHETIC_USFL_W8_PHI,,,8,USFL,,,,1.0,0.0,,4.0,247.0,1.0,118.0
SYNTHETIC_USFL_W9_PHI,,,9,USFL,,,,,1.0,0.0,0.0,62.0,,
SYNTHETIC_USFL_W10_PHI,,,10,USFL,,,,,1.0,,2.0,244.0,0.0,33.0
SYNTHETIC_USFL_W11_PHI,,,11,USFL,,,,0.0,1.0,,0.0,133.0,1.0,39.0
SYNTHETIC_USFL_2023_W1_STARS,,2023,1,USFL,,,,,0.0,,3.0,212.0,0.0,31.0
SYNTHETIC_USFL_2023_W2_STARS,,2023,2,USFL,,,,,2.0,1.0,0.0,280.0,0.0,12.0
SYNTHETIC_USFL_2023_W3_STARS,,2023,3,USFL,,,,,2.0,1.0,1.0,238.0,0.0,0.0
SYNTHETIC_USFL_2023_W4_STARS,,2023,4,USFL,,,,,1.0,,1.0,189.0,0.0,16.0
SYNTHETIC_USFL_2023_W5_STARS,,2023,5,USFL,,,,,0.0,,0.0,124.0,0.0,21.0
SYNTHETIC_USFL_2023_W6_STARS,,2023,6,USFL,,,,,2.0,,0.0,238.0,0.0,43.0
SYNTHETIC_USFL_2023_W7_STARS,,2023,7,USFL,,,,,1.0,,2.0,235.0,0.0,28.0
SYNTHETIC_USFL_2023_W8_STARS,,2023,8,USFL,,,,,1.0,,3.0,265.0,0.0,19.0
SYNTHETIC_USFL_2023_W9_STARS,,2023,9,USFL,,,,,0.0,1.0,3.0,263.0,0.0,59.0
SYNTHETIC_USFL_2023_W10_STARS,,2023,10,USFL,,,,,0.0,,2.0,247.0,0.0,48.0
SYNTHETIC_UFL_2024_W1_SHOWBOATS,,2024,1,UFL,,,,,1.0,,1.0,204.0,0.0,16.0
SYNTHETIC_UFL_2024_W2_SHOWBOATS,,2024,2,UFL,,,1.0,,0.0,1.0,1.0,194.0,0.0,58.0
SYNTHETIC_UFL_2024_W3_SHOWBOATS,,2024,3,UFL,,,,,0.0,,1.0,139.0,0.0,1.0
SYNTHETIC_UFL_2024_W4_SHOWBOATS,,2024,4,UFL,,,,1.0,1.0,,1.0,55.0,0.0,-1.0
SYNTHETIC_UFL_2024_W6_SHOWBOATS,,2024,6,UFL,,,,,0.0,2.0,1.0,115.0,0.0,4.0
SYNTHETIC_UFL_2024_W7_SHOWBOATS,,2024,7,UFL,,,,1.0,1.0,2.0,1.0,103.0,,
SYNTHETIC_UFL_2024_W8_SHOWBOATS,,2024,8,UFL,,,,,1.0,,1.0,179.0,0.0,8.0
SYNTHETIC_UFL_2025_W4_STALLIONS,,2025,4,UFL,,,,,0.0,,0.0,36.0,0.0,-1.0
SYNTHETIC_UFL_2025_W5_STALLIONS,,2025,5,UFL,,,,1.0,1.0,,2.0,145.0,0.0,83.0
SYNTHETIC_UFL_2025_W6_STALLIONS,,2025,6,UFL,,,,1.0,0.0,,2.0,166.0,0.0,16.0
SYNTHETIC_UFL_2025_W7_STALLIONS,,2025,7,UFL,,,,,1.0,,1.0,199.0,0.0,36.0
