game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W1_RENEGADES,,2024,1,UFL,,,,0.0,9.0,1.0,,
SYNTHETIC_UFL_2024_W2_RENEGADES,,2024,2,UFL,,,,0.0,18.0,2.0,,
SYNTHETIC_UFL_2024_W3_RENEGADES,,2024,3,UFL,,,,0.0,7.0,1.0,,
SYNTHETIC_UFL_2024_W4_RENEGADES,,2024,4,UFL,,,,0.0,1.0,1.0,,
SYNTHETIC_UFL_2024_W5_RENEGADES,,2024,5,UFL,,,,,,,0.0,3.0
SYNTHETIC_UFL_2024_W6_RENEGADES,,2024,6,UFL,,,,0.0,13.0,3.0,,
SYNTHETIC_UFL_2024_W7_RENEGADES,,2024,7,UFL,,,1.0,,,,,
SYNTHETIC_UFL_2024_W9_RENEGADES,,2024,9,UFL,,,1.0,1.0,38.0,3.0,,
SYNTHETIC_UFL_2025_W1_RENEGADES,,2025,1,UFL,,,,0.0,13.0,2.0,,
SYNTHETIC_UFL_2025_W2_RENEGADES,,2025,2,UFL,,,,0.0,12.0,1.0,,
SYNTHETIC_UFL_2025_W4_RENEGADES,,2025,4,UFL,,,,0.0,24.0,1.0,0.0,1.0
SYNTHETIC_UFL_2025_W5_RENEGADES,,2025,5,UFL,,,,0.0,22.0,2.0,0.0,1.0
SYNTHETIC_UFL_2025_W8_RENEGADES,,2025,8,UFL,,,,0.0,43.0,2.0,,
SYNTHETIC_UFL_2025_W9_RENEGADES,,2025,9,UFL,,,,1.0,2.0,2.0,,
SYNTHETIC_UFL_2025_W10_RENEGADES,,2025,10,UFL,,,,0.0,34.0,3.0,,
SYNTHETIC_UFL_2026_W1_DALLASRENEGADES,,2026,1,UFL,,,,0.0,-1.0,1.0,,
SYNTHETIC_UFL_2026_W2_DALLASRENEGADES,,2026,2,UFL,,,1.0,,,,,
SYNTHETIC_UFL_2026_W4_DALLASRENEGADES,,2026,4,UFL,,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2026_W5_DALLASRENEGADES,,2026,5,UFL,,,,0.0,29.0,3.0,,
SYNTHETIC_UFL_2026_W6_DALLASRENEGADES,,2026,6,UFL,,,,0.0,2.0,1.0,,
