game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-IND-ATL,2023-04-29,2023,1,,IND,ATL,2.0,,21.0,29.0,,1.0,,,,,30.0,,77.0,168.0
2023-05-06-MIN-IND,2023-05-06,2023,2,,MIN,IND,3.0,,33.0,46.0,,3.0,1.0,1.0,,,47.0,1.0,140.0,302.0
2023-05-13-IND-CHI,2023-05-13,2023,3,,IND,CHI,5.0,,37.0,42.0,,1.0,1.0,1.0,,,42.0,,66.0,214.0
2023-05-20-MAD-IND,2023-05-20,2023,4,,MAD,IND,4.0,1.0,49.0,63.0,,1.0,2.0,1.0,,,63.0,,-102.0,514.0
2023-06-03-IND-DET,2023-06-03,2023,6,,IND,DET,3.0,,38.0,39.0,,2.0,3.0,,,,42.0,2.0,-17.0,293.0
2023-06-10-CHI-IND,2023-06-10,2023,7,,CHI,IND,3.0,,23.0,28.0,1.0,,3.0,,1.0,,29.0,1.0,51.0,265.0
2023-06-17-DET-IND,2023-06-17,2023,8,,DET,IND,2.0,,33.0,40.0,,1.0,4.0,,,,41.0,1.0,71.0,410.0
2023-06-23-IND-MAD,2023-06-23,2023,9,,IND,MAD,,,31.0,40.0,,,4.0,1.0,,,41.0,1.0,107.0,318.0
2023-07-01-MAD-IND,2023-07-01,2023,10,,MAD,IND,1.0,,38.0,42.0,,,7.0,,,,43.0,1.0,-32.0,358.0
2023-07-09-IND-MIN,2023-07-09,2023,11,,IND,MIN,3.0,1.0,36.0,37.0,,,,1.0,,1.0,39.0,2.0,-6.0,145.0
2023-07-15-PIT-IND,2023-07-15,2023,12,,PIT,IND,3.0,,33.0,40.0,,2.0,3.0,3.0,,,42.0,2.0,107.0,273.0
