game_id,date,season,week,league,away,home,conversions,dst_touchdown,lost_fumbles,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W6_PIT,,,6,USFL,,,,,,,0.0,71.0,4.0,,
SYNTHETIC_USFL_W7_PIT,,,7,USFL,,,,,,,0.0,18.0,3.0,,
SYNTHETIC_USFL_W8_PIT,,,8,USFL,,,,,,,1.0,60.0,6.0,,
SYNTHETIC_USFL_W9_PIT,,,9,USFL,,,,,,,0.0,11.0,2.0,,
SYNTHETIC_USFL_W10_PIT,,,10,USFL,,,,,1.0,,2.0,38.0,3.0,,
SYNTHETIC_USFL_2023_W1_MAULERS,,2023,1,USFL,,,,,,1.0,0.0,0.0,0.0,,
SYNTHETIC_USFL_2023_W2_MAULERS,,2023,2,USFL,,,,,,,0.0,53.0,9.0,0.0,6.0
SYNTHETIC_USFL_2023_W3_MAULERS,,2023,3,USFL,,,,,,,0.0,10.0,2.0,,
SYNTHETIC_USFL_2023_W4_MAULERS,,2023,4,USFL,,,1.0,,,,0.0,43.0,3.0,0.0,14.0
SYNTHETIC_USFL_2023_W5_MAULERS,,2023,5,USFL,,,,,,,1.0,62.0,6.0,0.0,12.0
SYNTHETIC_USFL_2023_W6_MAULERS,,2023,6,USFL,,,,,,,,103.0,8.0,,-2.0
SYNTHETIC_USFL_2023_W7_MAULERS,,2023,7,USFL,,,,,,,1.0,22.0,2.0,,
SYNTHETIC_USFL_2023_W8_MAULERS,,2023,8,USFL,,,,,,,0.0,66.0,4.0,0.0,12.0
SYNTHETIC_USFL_2023_W9_MAULERS,,2023,9,USFL,,,,,,,0.0,67.0,5.0,0.0,7.0
SYNTHETIC_USFL_2023_W10_MAULERS,,2023,10,USFL,,,,,,,1.0,48.0,6.0,,
SYNTHETIC_USFL_2023_W11_MAULERS,,2023,11,USFL,,,,,,,,83.0,6.0,,
SYNTHETIC_USFL_2023_W12_MAULERS,,2023,12,USFL,,,,,,,,55.0,8.0,,13.0
SYNTHETIC_UFL_2025_W1_SHOWBOATS,,2025,1,UFL,,,,,,,0.0,6.0,1.0,,
SYNTHETIC_UFL_2025_W2_SHOWBOATS,,2025,2,UFL,,,,,1.0,,,,,,
SYNTHETIC_UFL_2025_W4_SHOWBOATS,,2025,4,UFL,,,,,,,0.0,5.0,1.0,,
SYNTHETIC_UFL_2025_W5_SHOWBOATS,,2025,5,UFL,,,,1.0,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2025_W9_SHOWBOATS,,2025,9,UFL,,,,,,,0.0,12.0,1.0,,
SYNTHETIC_UFL_2025_W10_SHOWBOATS,,2025,10,UFL,,,,,,,0.0,22.0,4.0,,
