game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_2023_W8_MTL,,2023,8,CFL,,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_2023_W10_MTL,,2023,10,CFL,,,0.0,,,,,,0.0,1.0
SYNTHETIC_CFL_2023_W11_MTL,,2023,11,CFL,,,0.0,,,,,,0.0,0.0
SYNTHETIC_CFL_2023_W13_MTL,,2023,13,CFL,,,0.0,,,,,,0.0,0.0
SYNTHETIC_CFL_2023_W15_MTL,,2023,15,CFL,,,,0.0,17.0,1.0,,,,
SYNTHETIC_CFL_2023_W21_MTL,,2023,21,CFL,,,,,,,0.0,3.0,,
SYNTHETIC_CFL_2024_W1_MTL,,2024,1,CFL,,,0.0,0.0,6.0,1.0,,,0.0,1.0
SYNTHETIC_CFL_2024_W4_MTL,,2024,4,CFL,,,,0.0,11.0,3.0,,,,
SYNTHETIC_CFL_2024_W9_MTL,,2024,9,CFL,,,,1.0,39.0,1.0,,,,
SYNTHETIC_CFL_2024_W10_MTL,,2024,10,CFL,,,,0.0,14.0,2.0,,,,
SYNTHETIC_CFL_2024_W11_MTL,,2024,11,CFL,,,,0.0,12.0,2.0,,,,
SYNTHETIC_CFL_2024_W12_MTL,,2024,12,CFL,,,,,,,0.0,5.0,,
SYNTHETIC_CFL_2024_W17_MTL,,2024,17,CFL,,,,0.0,-3.0,1.0,,,,
SYNTHETIC_CFL_2024_W20_MTL,,2024,20,CFL,,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_2025_W1_MTL,,2025,1,CFL,,,,0.0,11.0,1.0,,,,
SYNTHETIC_CFL_2025_W2_MTL,,2025,2,CFL,,,,0.0,15.0,2.0,,,,
SYNTHETIC_CFL_2025_W3_MTL,,2025,3,CFL,,,,1.0,6.0,1.0,,,,
SYNTHETIC_CFL_2025_W4_MTL,,2025,4,CFL,,,,0.0,5.0,1.0,,,,
SYNTHETIC_CFL_2025_W5_MTL,,2025,5,CFL,,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_2025_W7_MTL,,2025,7,CFL,,,,0.0,10.0,1.0,,,,
SYNTHETIC_CFL_2025_W10_MTL,,2025,10,CFL,,,,0.0,3.0,1.0,,,,
SYNTHETIC_CFL_2025_W11_MTL,,2025,11,CFL,,,,0.0,19.0,2.0,0.0,2.0,,
SYNTHETIC_CFL_2025_W14_MTL,,2025,14,CFL,,,,0.0,7.0,1.0,,,,
SYNTHETIC_CFL_2025_W15_MTL,,2025,15,CFL,,,,0.0,19.0,1.0,,,,
SYNTHETIC_CFL_2025_W19_MTL,,2025,19,CFL,,,,0.0,10.0,2.0,,,,
