game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,stalls,throwAttempts,yardsReceived,yardsThrown
2023-04-29-DC-CAR,2023-04-29,2023,1,,DC,CAR,,1.0,6.0,4.0,1.0,,1.0,4.0,28.0,19.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,,1.0,4.0,4.0,,2.0,,4.0,58.0,7.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,,,3.0,2.0,,,,2.0,15.0,-7.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,1.0,,7.0,6.0,1.0,,,6.0,67.0,-16.0
2023-06-23-DC-MTL,2023-06-23,2023,9,,DC,MTL,,,1.0,,1.0,,,,19.0,
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,,,5.0,5.0,,,,5.0,45.0,2.0
2023-07-08-BOS-DC,2023-07-08,2023,11,,BOS,DC,1.0,,10.0,10.0,,1.0,,10.0,9.0,17.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,1.0,,2.0,2.0,,,,2.0,-5.0,16.0
