game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_18_VGS@ARL,2023-02-18,2023,1,XFL,VGS,ARL,,,,38.0,4.0,,
SYNTHETIC_XFL_2023_W2_RENEGADES,,2023,2,XFL,,,0.0,1.0,,,,,
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,ORL,ARL,,,1.0,39.0,5.0,,
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,ARL,STL,,,,45.0,4.0,,
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,,7.0,1.0,,
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,25.0,3.0,,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,52.0,4.0,,
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,,63.0,6.0,,
SYNTHETIC_XFL_2023_W9_RENEGADES,,2023,9,XFL,,,0.0,1.0,,,,,
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,,33.0,4.0,,
SYNTHETIC_UFL_2024_W1_RENEGADES,,2024,1,UFL,,,,,0.0,15.0,3.0,,
SYNTHETIC_UFL_2024_W2_RENEGADES,,2024,2,UFL,,,1.0,1.0,0.0,58.0,5.0,,
SYNTHETIC_UFL_2024_W3_RENEGADES,,2024,3,UFL,,,,,1.0,109.0,9.0,,
SYNTHETIC_UFL_2024_W4_RENEGADES,,2024,4,UFL,,,,,0.0,12.0,1.0,,
SYNTHETIC_UFL_2024_W5_RENEGADES,,2024,5,UFL,,,,,0.0,45.0,5.0,,
SYNTHETIC_UFL_2024_W6_RENEGADES,,2024,6,UFL,,,,,0.0,28.0,4.0,,
SYNTHETIC_UFL_2024_W7_RENEGADES,,2024,7,UFL,,,,0.0,0.0,41.0,4.0,,
SYNTHETIC_UFL_2024_W8_RENEGADES,,2024,8,UFL,,,,,0.0,75.0,6.0,,
SYNTHETIC_UFL_2024_W9_RENEGADES,,2024,9,UFL,,,,,0.0,36.0,3.0,,
SYNTHETIC_UFL_2024_W10_RENEGADES,,2024,10,UFL,,,,1.0,2.0,84.0,5.0,,
SYNTHETIC_UFL_2025_W1_RENEGADES,,2025,1,UFL,,,,,0.0,28.0,3.0,,
SYNTHETIC_UFL_2025_W2_RENEGADES,,2025,2,UFL,,,,,0.0,14.0,1.0,,
SYNTHETIC_UFL_2025_W3_RENEGADES,,2025,3,UFL,,,,,0.0,40.0,5.0,,
SYNTHETIC_UFL_2025_W4_RENEGADES,,2025,4,UFL,,,,1.0,0.0,22.0,3.0,,
SYNTHETIC_UFL_2025_W5_RENEGADES,,2025,5,UFL,,,,,0.0,56.0,5.0,,
SYNTHETIC_UFL_2025_W6_RENEGADES,,2025,6,UFL,,,,,0.0,6.0,1.0,,
SYNTHETIC_UFL_2025_W7_RENEGADES,,2025,7,UFL,,,,,1.0,127.0,9.0,0.0,-5.0
SYNTHETIC_UFL_2025_W8_RENEGADES,,2025,8,UFL,,,,1.0,2.0,51.0,3.0,,
SYNTHETIC_UFL_2025_W9_RENEGADES,,2025,9,UFL,,,,,1.0,107.0,8.0,,
SYNTHETIC_UFL_2025_W10_RENEGADES,,2025,10,UFL,,,,,0.0,24.0,3.0,,
SYNTHETIC_UFL_2026_W1_DALLASRENEGADES,,2026,1,UFL,,,,,1.0,144.0,7.0,0.0,5.0
SYNTHETIC_UFL_2026_W2_DALLASRENEGADES,,2026,2,UFL,,,,,3.0,146.0,11.0,0.0,0.0
SYNTHETIC_UFL_2026_W3_DALLASRENEGADES,,2026,3,UFL,,,,,0.0,41.0,5.0,,
SYNTHETIC_UFL_2026_W4_DALLASRENEGADES,,2026,4,UFL,,,,,0.0,59.0,5.0,,
SYNTHETIC_UFL_2026_W5_DALLASRENEGADES,,2026,5,UFL,,,,,0.0,9.0,1.0,,
SYNTHETIC_UFL_2026_W6_DALLASRENEGADES,,2026,6,UFL,,,,,1.0,39.0,5.0,,
