game_id,date,season,week,league,away,home,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions
SWKANSAS-NASHVILLE,,,0,,,,,,,0.0,22.0,2.0
SALINA-CORPUS,,,1,,,,,,,2.0,42.0,4.0
STORM-FIREBIRDS,,,2,,,,,,,0.0,35.0,5.0
STORM-LIGHTNING-0330,0330,,3,,STORM,LIGHTNING,,,,2.0,99.0,5.0
SWKANSAS-OREGON-0412,0412,,3,,SWKANSAS,OREGON,,,,2.0,144.0,10.0
SWKANSAS-NASHVILLE-0426,0426,,7,,SWKANSAS,NASHVILLE,0.0,0.0,0.0,1.0,23.0,2.0
SWKANSAS-BILLINGS-0503,0503,,8,,SWKANSAS,BILLINGS,,,,0.0,21.0,2.0
WASHINGTON-SWKANSAS-05-25,,,11,,,,,,,4.0,117.0,6.0
SALINA-KANSAS-0607,0607,,13,,SALINA,KANSAS,,,,1.0,51.0,4.0
SWKANSAS-SALINA-0615,0615,,14,,SWKANSAS,SALINA,,,,2.0,147.0,9.0
SYNTHETIC_AF1_2025_W5_SWKANSAS,,2025,5,AF1,,,,,,2.0,144.0,10.0
SYNTHETIC_AF1_2025_W6_SWKANSAS,,2025,6,AF1,,,,,,,68.0,6.0
