game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-MTL-TOR,2023-05-13,2023,3,,MTL,TOR,5.0,1.0,32.0,26.0,,4.0,2.0,,,28.0,2.0,268.0,201.0
2023-05-20-BOS-MTL,2023-05-20,2023,4,,BOS,MTL,3.0,,15.0,13.0,,2.0,1.0,1.0,,15.0,2.0,111.0,82.0
2023-05-27-TOR-MTL,2023-05-27,2023,5,,TOR,MTL,1.0,,5.0,5.0,,1.0,,,,6.0,1.0,31.0,29.0
2023-06-03-NY-MTL,2023-06-03,2023,6,,NY,MTL,2.0,,28.0,27.0,,1.0,1.0,1.0,,29.0,2.0,88.0,207.0
2023-06-11-BOS-MTL,2023-06-11,2023,7,,BOS,MTL,4.0,,31.0,31.0,,3.0,,4.0,,33.0,2.0,211.0,356.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,2.0,,33.0,33.0,,,1.0,,,35.0,2.0,256.0,414.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,,MTL,PHI,,,,,1.0,1.0,,4.0,,,,,
2023-06-23-DC-MTL,2023-06-23,2023,9,,DC,MTL,5.0,,46.0,46.0,,2.0,3.0,3.0,,50.0,4.0,170.0,488.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,,PHI,MTL,,,37.0,37.0,1.0,1.0,,1.0,,40.0,2.0,68.0,188.0
2023-07-21-MTL-BOS,2023-07-21,2023,13,,MTL,BOS,4.0,,22.0,24.0,1.0,,,1.0,1.0,25.0,1.0,106.0,314.0
2023-07-22-MTL-NY,2023-07-22,2023,13,,MTL,NY,,,,,,0.0,,,,,,,
