game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-28-SEA-SLC,2023-04-28,2023,1,,SEA,SLC,2.0,1.0,9.0,8.0,,1.0,9.0,1.0,79.0,36.0
2023-05-05-SLC-POR,2023-05-05,2023,2,,SLC,POR,,,2.0,3.0,,,3.0,,13.0,27.0
2023-05-06-SLC-SEA,2023-05-06,2023,2,,SLC,SEA,,,,,2.0,,,,,
2023-05-13-SLC-OAK,2023-05-13,2023,3,,SLC,OAK,,2.0,2.0,1.0,1.0,,2.0,1.0,34.0,8.0
2023-05-19-LA-SLC,2023-05-19,2023,4,,LA,SLC,3.0,2.0,10.0,8.0,1.0,1.0,9.0,1.0,120.0,125.0
2023-06-03-OAK-SLC,2023-06-03,2023,6,,OAK,SLC,,2.0,4.0,4.0,,,4.0,,45.0,2.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,,1.0,5.0,2.0,3.0,1.0,2.0,,71.0,1.0
2023-06-16-COL-SLC,2023-06-16,2023,8,,COL,SLC,,2.0,3.0,2.0,1.0,,2.0,,26.0,18.0
2023-06-30-SLC-LA,2023-06-30,2023,10,,SLC,LA,1.0,1.0,6.0,4.0,3.0,1.0,4.0,,171.0,18.0
2023-07-07-POR-SLC,2023-07-07,2023,11,,POR,SLC,2.0,,7.0,6.0,,3.0,7.0,,55.0,34.0
2023-07-15-NY-SLC,2023-07-15,2023,12,,NY,SLC,,,5.0,4.0,,1.0,5.0,1.0,54.0,27.0
