game_id,date,season,week,league,away,home,assists,catches,completions,hucksCompleted,throwAttempts,yardsReceived,yardsThrown
2023-07-02-PHI-MTL,2023-07-02,2023,10,,PHI,MTL,2.0,16.0,18.0,1.0,19.0,-2.0,165.0
2023-07-07-BOS-PHI,2023-07-07,2023,11,,BOS,PHI,,3.0,4.0,,4.0,13.0,2.0
