game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-COL-LA,2023-05-06,2023,2,,COL,LA,1.0,,8.0,5.0,1.0,,,,7.0,2.0,88.0,29.0
2023-05-12-POR-LA,2023-05-12,2023,3,,POR,LA,,,13.0,11.0,2.0,2.0,,,11.0,,142.0,40.0
2023-05-19-LA-SLC,2023-05-19,2023,4,,LA,SLC,,,20.0,15.0,3.0,,,,16.0,1.0,228.0,14.0
2023-05-20-LA-COL,2023-05-20,2023,4,,LA,COL,,,,,,2.0,,,,,,
2023-06-03-LA-SD,2023-06-03,2023,6,,LA,SD,1.0,,21.0,14.0,5.0,1.0,1.0,,15.0,1.0,259.0,56.0
2023-06-09-LA-POR,2023-06-09,2023,7,,LA,POR,2.0,,23.0,20.0,3.0,1.0,1.0,,20.0,,242.0,109.0
2023-06-18-SEA-LA,2023-06-18,2023,8,,SEA,LA,,,18.0,16.0,1.0,1.0,,,17.0,1.0,216.0,78.0
2023-06-24-SD-LA,2023-06-24,2023,9,,SD,LA,2.0,1.0,15.0,14.0,1.0,2.0,,,14.0,,148.0,55.0
2023-06-30-SLC-LA,2023-06-30,2023,10,,SLC,LA,,,15.0,13.0,1.0,1.0,,1.0,13.0,,103.0,17.0
2023-07-15-LA-OAK,2023-07-15,2023,12,,LA,OAK,,1.0,18.0,17.0,,2.0,,,19.0,2.0,146.0,52.0
2023-07-21-OAK-LA,2023-07-21,2023,13,,OAK,LA,1.0,,18.0,13.0,5.0,3.0,,,13.0,,293.0,39.0
