game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_USFL_2023_W1_STARS,,2023,1,USFL,,,,,,1.0,23.0,
SYNTHETIC_USFL_2023_W2_STARS,,2023,2,USFL,,,,,,2.0,24.0,0.0
SYNTHETIC_USFL_2023_W3_STARS,,2023,3,USFL,,,,,1.0,0.0,21.0,5.0
SYNTHETIC_USFL_2023_W4_STARS,,2023,4,USFL,,,1.0,,1.0,0.0,41.0,1.0
SYNTHETIC_USFL_2023_W5_STARS,,2023,5,USFL,,,,,3.0,1.0,21.0,0.0
SYNTHETIC_USFL_2023_W6_STARS,,2023,6,USFL,,,,1.0,,2.0,10.0,2.0
SYNTHETIC_USFL_2023_W7_STARS,,2023,7,USFL,,,,,1.0,1.0,25.0,5.0
SYNTHETIC_USFL_2023_W8_STARS,,2023,8,USFL,,,,,2.0,0.0,27.0,2.0
SYNTHETIC_USFL_2023_W9_STARS,,2023,9,USFL,,,,,,0.0,31.0,2.0
SYNTHETIC_USFL_2023_W10_STARS,,2023,10,USFL,,,,,,0.0,17.0,0.0
