game_id,date,season,week,league,away,home,3pt_pass,extra_point,field_goal_yards,interceptions_lost,missed,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_UFL_2026_W1_BIRMINGHAMSTALLIONS,,2026,1,UFL,,,,,31.0,0.0,1.0,1.0,208.0,0.0,3.0
SYNTHETIC_UFL_2026_W2_BIRMINGHAMSTALLIONS,,2026,2,UFL,,,,2.0,,2.0,,2.0,226.0,0.0,8.0
SYNTHETIC_UFL_2026_W3_BIRMINGHAMSTALLIONS,,2026,3,UFL,,,,3.0,34.0,2.0,,2.0,252.0,0.0,-1.0
SYNTHETIC_UFL_2026_W4_BIRMINGHAMSTALLIONS,,2026,4,UFL,,,,1.0,,0.0,1.0,0.0,143.0,0.0,0.0
SYNTHETIC_UFL_2026_W5_BIRMINGHAMSTALLIONS,,2026,5,UFL,,,1.0,5.0,,2.0,,2.0,313.0,1.0,43.0
