game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,3.0,1.0,2.0,278.0,,
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,SA,ORL,,,1.0,,2.0,87.0,,23.0
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,ORL,ARL,,,,,,219.0,1.0,43.0
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,HOU,ORL,,,,1.0,2.0,286.0,,6.0
SYNTHETIC_XFL_2023_W4_GUARDIANS,,2023,4,XFL,,,1.0,0.0,,,,,,
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,,2.0,303.0,,16.0
SYNTHETIC_XFL_2023_W5_GUARDIANS,,2023,5,XFL,,,0.0,0.0,,,,,1.0,
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,,,,,243.0,,43.0
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,,,3.0,328.0,3.0,22.0
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,2.0,3.0,1.0,303.0,1.0,17.0
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,1.0,,2.0,67.0,,17.0
SYNTHETIC_XFL_2023_W9_GUARDIANS,,2023,9,XFL,,,0.0,1.0,,,,,,
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,1.0,,2.0,197.0,,32.0
SYNTHETIC_XFL_2023_W10_GUARDIANS,,2023,10,XFL,,,0.0,2.0,,,,,,
