game_id,date,season,week,league,away,home,blocks,catches,completions,drops,goals,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-SLC-SEA,2023-05-06,2023,2,,SLC,SEA,1.0,6.0,4.0,,1.0,5.0,1.0,35.0,17.0
2023-05-13-SEA-COL,2023-05-13,2023,3,,SEA,COL,,1.0,3.0,,,3.0,,-9.0,30.0
2023-05-20-OAK-SEA,2023-05-20,2023,4,,OAK,SEA,,,1.0,1.0,,1.0,,,19.0
2023-06-02-SEA-POR,2023-06-02,2023,6,,SEA,POR,,2.0,2.0,,,2.0,,,9.0
