game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_MICH,,,1,USFL,,,,,1.0,71.0,6.0,0.0,7.0
SYNTHETIC_USFL_W2_MICH,,,2,USFL,,,,,0.0,23.0,4.0,,
SYNTHETIC_USFL_W3_MICH,,,3,USFL,,,,,0.0,41.0,4.0,,
SYNTHETIC_USFL_W4_MICH,,,4,USFL,,,,,0.0,0.0,0.0,0.0,-4.0
SYNTHETIC_USFL_W5_MICH,,,5,USFL,,,,,0.0,86.0,6.0,,
SYNTHETIC_USFL_W6_MICH,,,6,USFL,,,,1.0,0.0,82.0,9.0,0.0,5.0
SYNTHETIC_USFL_W7_MICH,,,7,USFL,,,1.0,,0.0,47.0,3.0,,
SYNTHETIC_USFL_W8_MICH,,,8,USFL,,,,,0.0,64.0,8.0,0.0,-1.0
SYNTHETIC_USFL_W9_MICH,,,9,USFL,,,,,0.0,40.0,7.0,,
SYNTHETIC_USFL_W10_MICH,,,10,USFL,,,,,1.0,31.0,5.0,,
SYNTHETIC_XFL_2023_W4_GUARDIANS,,2023,4,XFL,,,,,,36.0,3.0,,
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,41.0,5.0,,
