game_id,date,season,week,league,away,home,1pt_conversion,conversions,field_goal_yards,interceptions_lost,lost_fumbles,missed,passing_tds,passing_yards,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,,0.0,0.0,,,,,
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,,,,2.0,190.0,,12.0
SYNTHETIC_XFL_2023_W1_BATTLEHAWKS,,2023,1,XFL,,,,,32.0,,,1.0,,,,
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,STL,SEA,,,,,,,1.0,184.0,1.0,41.0
SYNTHETIC_XFL_2023_W2_BATTLEHAWKS,,2023,2,XFL,,,,1.0,88.0,,,2.0,,,,
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,STL,DC,,,,2.0,1.0,,4.0,262.0,,6.0
SYNTHETIC_XFL_2023_W3_BATTLEHAWKS,,2023,3,XFL,,,,2.0,0.0,,,1.0,,,,
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,ARL,STL,,,,1.0,,,2.0,214.0,,
SYNTHETIC_XFL_2023_W4_BATTLEHAWKS,,2023,4,XFL,,,1.0,1.0,28.0,,,0.0,,,,
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,1.0,1.0,,2.0,236.0,,12.0
SYNTHETIC_XFL_2023_W5_BATTLEHAWKS,,2023,5,XFL,,,0.0,1.0,70.0,,,0.0,,,,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,,,,3.0,236.0,,18.0
SYNTHETIC_XFL_2023_W6_BATTLEHAWKS,,2023,6,XFL,,,0.0,1.0,40.0,,,0.0,,,,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,,,,3.0,227.0,,5.0
SYNTHETIC_XFL_2023_W7_BATTLEHAWKS,,2023,7,XFL,,,0.0,1.0,59.0,,,0.0,,,,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,2.0,,,1.0,194.0,,51.0
SYNTHETIC_XFL_2023_W8_BATTLEHAWKS,,2023,8,XFL,,,0.0,1.0,34.0,,,1.0,,,,
FOOTBALL_XFL_2023_4_16_SEA@STL,2023-04-16,2023,9,XFL,SEA,STL,,,,2.0,,,1.0,186.0,,1.0
SYNTHETIC_XFL_2023_W9_BATTLEHAWKS,,2023,9,XFL,,,,,99.0,,,0.0,,,,
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,,,,6.0,420.0,,9.0
SYNTHETIC_XFL_2023_W10_BATTLEHAWKS,,2023,10,XFL,,,0.0,4.0,35.0,,,1.0,,,,
SYNTHETIC_UFL_2024_W1_BATTLEHAWKS,,2024,1,UFL,,,1.0,,36.0,0.0,,,0.0,16.0,0.0,24.0
SYNTHETIC_UFL_2024_W2_BATTLEHAWKS,,2024,2,UFL,,,,1.0,70.0,0.0,,1.0,2.0,248.0,0.0,2.0
SYNTHETIC_UFL_2024_W3_BATTLEHAWKS,,2024,3,UFL,,,,2.0,144.0,0.0,,,1.0,152.0,1.0,21.0
SYNTHETIC_UFL_2024_W4_BATTLEHAWKS,,2024,4,UFL,,,,1.0,101.0,1.0,,1.0,3.0,222.0,0.0,23.0
SYNTHETIC_UFL_2024_W5_BATTLEHAWKS,,2024,5,UFL,,,1.0,2.0,149.0,0.0,1.0,,2.0,213.0,1.0,12.0
SYNTHETIC_UFL_2024_W6_BATTLEHAWKS,,2024,6,UFL,,,,2.0,,1.0,,,3.0,255.0,0.0,4.0
SYNTHETIC_UFL_2024_W7_BATTLEHAWKS,,2024,7,UFL,,,,,99.0,1.0,,,1.0,161.0,0.0,24.0
SYNTHETIC_UFL_2024_W8_BATTLEHAWKS,,2024,8,UFL,,,,1.0,63.0,0.0,,,0.0,126.0,0.0,79.0
SYNTHETIC_UFL_2024_W9_BATTLEHAWKS,,2024,9,UFL,,,,,20.0,3.0,,,1.0,179.0,2.0,51.0
SYNTHETIC_UFL_2024_W10_BATTLEHAWKS,,2024,10,UFL,,,1.0,,70.0,1.0,,,1.0,115.0,0.0,12.0
