game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_yards,receptions,rushing_tds,rushing_yards,tackles
FOOTBALL_XFL_2023_2_19_SEA@DC,2023-02-19,2023,1,XFL,SEA,DC,,,,4.0,1.0,,17.0,1.0
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,STL,SEA,,,1.0,24.0,4.0,,50.0,
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,SEA,VGS,,,,,,,103.0,
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SA,SEA,,,,10.0,2.0,1.0,69.0,
SYNTHETIC_XFL_2023_W4_SEADRAGONS,,2023,4,XFL,,,0.0,0.0,,,,,,
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,1.0,,,,15.0,
SYNTHETIC_UFL_2024_W4_BRAHMAS,,2024,4,UFL,,,,,,,,0.0,2.0,
SYNTHETIC_UFL_2024_W5_BRAHMAS,,2024,5,UFL,,,,,,,,0.0,84.0,
SYNTHETIC_UFL_2024_W6_BRAHMAS,,2024,6,UFL,,,,,,,,0.0,17.0,
SYNTHETIC_UFL_2024_W7_BRAHMAS,,2024,7,UFL,,,,,,,,0.0,25.0,
SYNTHETIC_UFL_2024_W8_BRAHMAS,,2024,8,UFL,,,1.0,,,,,0.0,5.0,
SYNTHETIC_UFL_2024_W9_BRAHMAS,,2024,9,UFL,,,,,,,,2.0,30.0,
SYNTHETIC_UFL_2024_W10_BRAHMAS,,2024,10,UFL,,,,,1.0,,,1.0,43.0,
SYNTHETIC_UFL_2024_W11_BRAHMAS,,2024,11,UFL,,,,,,,,0.0,2.0,
SYNTHETIC_UFL_2024_W12_BRAHMAS,,2024,12,UFL,,,,,,,,0.0,11.0,
