game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,tackles
SYNTHETIC_CFL_W1_EDM,,,1,CFL,,,0.0,64.0,6.0,
SYNTHETIC_CFL_W3_EDM,,,3,CFL,,,0.0,41.0,3.0,
SYNTHETIC_CFL_W4_EDM,,,4,CFL,,,0.0,38.0,3.0,
SYNTHETIC_CFL_W5_EDM,,,5,CFL,,,0.0,33.0,6.0,
SYNTHETIC_CFL_W6_EDM,,,6,CFL,,,0.0,71.0,4.0,
SYNTHETIC_CFL_W9_EDM,,,9,CFL,,,0.0,91.0,7.0,
SYNTHETIC_CFL_W10_EDM,,,10,CFL,,,0.0,5.0,1.0,
SYNTHETIC_CFL_W11_EDM,,,11,CFL,,,1.0,36.0,3.0,
SYNTHETIC_CFL_W15_EDM,,,15,CFL,,,0.0,109.0,5.0,
SYNTHETIC_CFL_W17_EDM,,,17,CFL,,,0.0,31.0,3.0,
SYNTHETIC_CFL_W18_EDM,,,18,CFL,,,0.0,19.0,3.0,
SYNTHETIC_CFL_W19_EDM,,,19,CFL,,,0.0,114.0,7.0,
SYNTHETIC_CFL_W20_EDM,,,20,CFL,,,0.0,56.0,3.0,
SYNTHETIC_CFL_2023_W1_SSK,,2023,1,CFL,,,1.0,28.0,3.0,1.0
SYNTHETIC_CFL_2023_W2_SSK,,2023,2,CFL,,,,,,1.0
SYNTHETIC_CFL_2023_W19_SSK,,2023,19,CFL,,,0.0,0.0,0.0,
SYNTHETIC_CFL_2023_W21_SSK,,2023,21,CFL,,,0.0,14.0,3.0,
