game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W3_RENEGADES,,2024,3,UFL,,,,,,,0.0,9.0
SYNTHETIC_UFL_2024_W5_RENEGADES,,2024,5,UFL,,,1.0,0.0,9.0,1.0,0.0,33.0
SYNTHETIC_UFL_2024_W6_RENEGADES,,2024,6,UFL,,,,0.0,6.0,1.0,1.0,32.0
SYNTHETIC_UFL_2025_W1_RENEGADES,,2025,1,UFL,,,,,,,0.0,40.0
SYNTHETIC_UFL_2025_W2_RENEGADES,,2025,2,UFL,,,,0.0,22.0,2.0,0.0,63.0
SYNTHETIC_UFL_2025_W3_RENEGADES,,2025,3,UFL,,,,0.0,8.0,2.0,0.0,29.0
SYNTHETIC_UFL_2025_W4_RENEGADES,,2025,4,UFL,,,,0.0,17.0,2.0,1.0,25.0
SYNTHETIC_UFL_2025_W5_RENEGADES,,2025,5,UFL,,,,,,,0.0,16.0
SYNTHETIC_UFL_2025_W6_RENEGADES,,2025,6,UFL,,,,0.0,41.0,5.0,0.0,47.0
SYNTHETIC_UFL_2025_W7_RENEGADES,,2025,7,UFL,,,,0.0,39.0,4.0,0.0,35.0
SYNTHETIC_UFL_2025_W8_RENEGADES,,2025,8,UFL,,,,0.0,49.0,6.0,0.0,40.0
SYNTHETIC_UFL_2025_W9_RENEGADES,,2025,9,UFL,,,,0.0,23.0,3.0,0.0,67.0
SYNTHETIC_UFL_2025_W10_RENEGADES,,2025,10,UFL,,,,0.0,29.0,3.0,1.0,37.0
SYNTHETIC_UFL_2026_W2_DALLASRENEGADES,,2026,2,UFL,,,,0.0,-3.0,1.0,0.0,67.0
SYNTHETIC_UFL_2026_W3_DALLASRENEGADES,,2026,3,UFL,,,,0.0,20.0,2.0,1.0,62.0
SYNTHETIC_UFL_2026_W4_DALLASRENEGADES,,2026,4,UFL,,,,0.0,6.0,1.0,0.0,45.0
SYNTHETIC_UFL_2026_W5_DALLASRENEGADES,,2026,5,UFL,,,,0.0,2.0,1.0,0.0,36.0
SYNTHETIC_UFL_2026_W6_DALLASRENEGADES,,2026,6,UFL,,,,0.0,9.0,2.0,0.0,10.0
