game_id,date,season,week,league,away,home,blocks,catches,completions,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-06-03-CAR-PHI,2023-06-03,2023,6,,CAR,PHI,1.0,5.0,5.0,1.0,,5.0,,76.0,-35.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,,PHI,TOR,,6.0,4.0,2.0,,4.0,,83.0,14.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,,MTL,PHI,1.0,7.0,7.0,1.0,1.0,7.0,,134.0,22.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,,PHI,MTL,,4.0,6.0,,,7.0,1.0,24.0,27.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,,3.0,2.0,1.0,,2.0,,34.0,17.0
2023-07-22-TOR-PHI,2023-07-22,2023,13,,TOR,PHI,,5.0,4.0,1.0,1.0,4.0,,44.0,16.0
